height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
77.0,187,1981,9,jacksla01w,F-C,,
75.0,179,1962,3,jacksta01w,F-C,Florida,
66.0,118,1978,7,jacksta02w,G,Louisiana Tech,
75.0,185,1985,3,jacksti02w,F,Texas,
68.0,152,1982,5,jacobam01w,G,Boston College,
69.0,158,1984,2,jamesta01w,F,Miami (FL),
68.0,144,1987,1,januabr01w,G,Arizona State,
69.0,180,1983,1,jekaban01w,G,,
71.0,165,1981,2,joensca01w,G-F,George Washington,
70.0,154,1974,4,johnsad01w,G,Ohio State,
75.0,185,1981,1,johnsch01w,C,Wisconsin-Green Bay,
72.0,201,1979,1,johnsja01w,F,Kansas,
73.0,150,1975,5,johnsla01w,F,Memphis,
69.0,146,1973,1,johnsni01w,G,Alabama,
75.0,165,1975,5,johnspo01w,C,Michigan,
67.0,152,1974,10,johnssh01w,G,South Carolina,
63.0,132,1982,5,johnste01w,G,Louisiana State,
76.0,240,1975,7,johnsti01w,C,Tennessee,
69.0,150,1972,10,johnsvi01w,G-F,Louisiana Tech,
74.0,196,1980,8,jonesas01w,F,Connecticut,
69.0,150,1982,3,jonesch01w,G-F,Houston,
69.0,158,1978,1,jonesja01w,G,UNC Charlotte,
73.0,180,1977,1,jonesla01w,G,Ohio State,
69.0,147,1973,5,jonesme01w,G,Florida,
74.0,190,1986,2,kellycr01w,F,Western Kentucky,
67.0,135,1981,1,kingbsu01w,G,Stanford,
68.0,150,1976,6,kingija01w,G,,
74.0,181,1979,2,klimezu01w,F,Vanderbilt,
68.0,145,1982,4,koehnla01w,G,Kansas State,
70.0,160,1980,1,korstil01w,G,,
67.0,137,1978,1,kostaan01w,G,,
73.0,163,1972,1,kostita01w,F,Oregon State,
76.0,180,1981,5,kraayca01w,F,Oregon,
69.0,145,1978,2,kubikni01w,G,Nebraska,
75.0,175,1983,4,lacyje01w,F,Pepperdine,
76.0,234,1967,1,lacyve01w,C,Louisiana Tech,
67.0,125,1980,4,lambesh01w,G,Baylor,Grayson County (JC)
77.0,206,1964,1,lambmo01w,C,USC,
74.0,184,1986,2,langhcr01w,F-C,Maryland,
73.0,210,1986,2,larkier01w,F,North Carolina,
73.0,160,1979,6,lassiam01w,F,Missouri,
66.0,143,1984,3,lattaiv01w,G,North Carolina,
66.0,130,1979,5,lawsoed01w,G,,
69.0,165,1981,7,lawsoka01w,G,Tennessee,
70.0,147,1980,1,lazicka01w,F-C,,
69.0,147,1986,1,lehnish01w,G,Kansas State,
68.0,143,1976,10,lennobe01w,G,Louisiana Tech,
77.0,170,1972,10,leslili01w,C,USC,
77.0,195,1983,2,leuchye01w,C,West Virginia,
68.0,163,1979,1,levanni01w,G,Xavier,
74.0,212,1979,1,lewista01w,F-C,Louisiana Tech,
70.0,152,1979,6,lewisty01w,G,North Carolina State,
70.0,150,1958,1,liebena01w,G,Old Dominion,
74.0,180,1985,3,littlca01w,F,North Carolina,
74.0,175,1965,1,lloydan01w,F,Texas,
76.0,190,1973,3,lobore01w,F,Connecticut,
76.0,170,1974,9,lovelst01w,F,Purdue,
73.0,165,1975,1,luckepa01w,F,Houston,
68.0,144,1972,3,luzhe01w,G,,
76.0,175,1983,5,lyttlsa01w,F,Houston,
71.0,165,1976,9,mabikmw01w,G-F,,
73.0,169,1979,2,macchla01w,F,,
77.0,180,1976,3,machacl01w,F-C,Old Dominion,
72.0,160,1983,2,mahonme01w,F,Kansas State,
76.0,178,1977,3,mahonsh01w,F,Western Kentucky,
73.0,160,1978,8,maigaha01w,G-F,Old Dominion,
73.0,170,1975,2,malcona01w,F,Providence,
77.0,210,1981,1,malloso01w,C,Georgia Tech,
71.0,165,1978,1,maltsev01w,G,,
75.0,186,1969,1,mannish01w,F-C,North Carolina State,
73.0,185,1983,5,mannkr01w,F,UC Santa Barbara,
74.0,190,1969,4,mapprh01w,C,North Carolina State,
70.0,154,1973,3,marcimi01w,G,Tennessee,
76.0,172,1978,2,martima01w,F,UCLA,
69.0,167,1984,1,martinu01w,G,,
72.0,169,1980,5,mascira01w,F,,
69.0,167,1982,1,matteca01w,G,Ohio State,
69.0,162,1976,3,maxwemo01w,F,Louisiana Tech,
72.0,155,1982,6,mazzake01w,G,Penn State,
63.0,135,1979,1,mccaibr01w,G,Florida,
