year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,tmID_encoded
2,0,6,0,0.0,0.0,0.0,762,1822,472,591,446,286,649,935,458,600,242,491,118,853,1899,583,131,367,306,966,565,616,256,466,140,32,138922,0.3125,0.6875,0.4375,0.5625,0.1875,0.8125,0.3333333333333333,0.6666666666666666,IND,7
3,0,4,1,0.5,0.0,0.0,731,1825,455,580,543,315,633,948,447,559,268,438,100,804,1817,503,162,464,288,932,507,647,226,470,145,32,134945,0.5,0.5,0.625,0.375,0.375,0.625,0.5714285714285714,0.42857142857142855,IND,7
4,0,5,0,0.0,0.0,0.0,839,2011,449,563,600,334,654,988,539,668,299,474,121,837,1908,638,157,421,309,986,570,631,227,512,170,34,141778,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.35294117647058826,0.29411764705882354,0.7058823529411765,0.5,0.5,IND,7
5,0,6,0,0.0,0.0,0.0,791,2011,450,580,481,396,705,1101,555,639,261,486,134,804,1865,695,121,352,281,969,514,603,268,466,162,34,128989,0.4411764705882353,0.5588235294117647,0.5882352941176471,0.4117647058823529,0.29411764705882354,0.7058823529411765,0.4,0.6,IND,7
6,0,2,1,1.0,0.5,0.0,784,1958,452,595,468,341,671,1012,493,668,336,477,95,775,1798,642,123,367,279,990,435,644,234,558,113,34,142494,0.6176470588235294,0.38235294117647056,0.8235294117647058,0.17647058823529413,0.4117647058823529,0.5882352941176471,0.7,0.3,IND,7
7,0,3,1,0.5,0.0,0.0,873,2144,518,676,551,339,755,1094,501,606,354,528,93,883,2043,559,137,444,288,1061,507,685,259,617,105,34,122768,0.6176470588235294,0.38235294117647056,0.7058823529411765,0.29411764705882354,0.5294117647058824,0.47058823529411764,0.6,0.4,IND,7
8,0,2,1,1.0,0.5,0.0,907,2167,478,617,546,341,812,1153,511,646,308,589,136,881,2192,608,158,483,369,1164,475,663,280,610,114,34,133915,0.6176470588235294,0.38235294117647056,0.7058823529411765,0.29411764705882354,0.5294117647058824,0.47058823529411764,0.6,0.4,IND,7
9,0,4,1,0.5,0.0,0.0,876,2179,495,656,662,349,778,1127,500,727,324,585,165,891,2127,706,135,415,338,1171,477,659,294,608,130,34,130941,0.5,0.5,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.6470588235294118,0.6,0.4,IND,7
10,0,1,1,1.0,1.0,0.5,890,2212,613,746,637,342,780,1122,527,692,373,531,117,909,2118,692,154,483,318,1167,498,700,271,638,116,34,134964,0.6470588235294118,0.35294117647058826,0.8235294117647058,0.17647058823529413,0.47058823529411764,0.5294117647058824,0.7727272727272727,0.22727272727272727,IND,7
1,1,1,1,1.0,0.5,0.0,861,1956,545,693,452,308,783,1091,586,705,271,466,156,776,1963,692,122,413,300,978,445,650,243,485,105,32,105005,0.875,0.125,0.9375,0.0625,0.8125,0.1875,0.8095238095238095,0.19047619047619047,LAS,8
2,1,1,1,1.0,1.0,1.0,916,2031,449,594,436,350,755,1105,596,616,281,438,138,779,1985,547,192,603,294,921,538,591,234,453,114,32,148446,0.875,0.125,1.0,0.0,0.75,0.25,0.9047619047619048,0.09523809523809523,LAS,8
3,1,1,1,1.0,1.0,1.0,891,2002,476,645,515,329,814,1143,583,664,257,517,161,796,2040,649,163,521,314,959,508,623,275,453,111,32,186410,0.78125,0.21875,0.75,0.25,0.8125,0.1875,0.8095238095238095,0.19047619047619047,LAS,8
4,1,1,1,1.0,1.0,0.5,894,2140,537,678,528,336,813,1149,587,682,242,470,161,866,2147,702,196,540,316,1105,572,654,241,468,127,34,157934,0.7058823529411765,0.29411764705882354,0.6470588235294118,0.35294117647058826,0.7647058823529411,0.23529411764705882,0.7083333333333334,0.2916666666666667,LAS,8
5,1,1,1,0.5,0.0,0.0,904,2069,530,722,414,312,809,1121,626,731,262,529,148,815,2095,761,174,511,339,1066,532,704,288,523,114,34,177269,0.7352941176470589,0.2647058823529412,0.8823529411764706,0.11764705882352941,0.5882352941176471,0.4117647058823529,0.7272727272727273,0.2727272727272727,LAS,8
