year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,num_seasons,height,weight,stint,GP,threeAttempted,dq,PostoRebounds,PostBlocks,PostthreeAttempted,PostDQ,FG%,FT%,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Steals_Per_Game,Points_Ratio,POSITION_METRIC
4,0,1,1.0,0.0,,646,177,333,520,270,434,111,536,366,812,553,252,476,88,102433,CON,2.0,2.0,6.545454545454546,71.72727272727273,169.54545454545453,0.0,30.545454545454547,49.90909090909091,0.45454545454545453,2.3636363636363638,1.1818181818181819,4.363636363636363,0.0,0.4173072090749416,0.6941087070214205,1.6226570678776562,0.36789176781823835,0.8411365404747758,0.11293200071809673,1.7454772934845453
5,0,1,1.0,1.0,0.0,590,149,321,572,299,462,96,384,306,757,565,239,492,113,114017,CON,5.0,3.0,6.2727272727272725,71.0909090909091,166.63636363636363,0.0,30.0,42.45454545454545,0.09090909090909091,7.090909090909091,1.8181818181818181,9.272727272727273,0.0,0.40093981360330005,0.7850583431578276,1.949056040298887,0.31761695602400314,1.040524288720507,0.18764012652908824,1.9409472797025609
6,0,1,1.0,1.0,1.0,688,130,322,573,236,452,130,400,350,728,495,258,442,79,121944,CON,5.0,3.0,6.583333333333333,66.41666666666667,174.83333333333334,0.0,26.833333333333332,31.083333333333332,0.08333333333333333,5.833333333333333,3.4166666666666665,9.5,0.0,0.3888029703601008,0.6873791225416964,1.7740886090506585,0.44280331980462434,0.7472432560104525,0.1772924879970089,1.4512320971514356
7,0,1,1.0,0.0,,675,174,342,630,252,514,153,508,370,783,528,273,486,103,126096,CON,3.0,2.0,5.357142857142857,67.07142857142857,174.92857142857142,0.07142857142857142,24.785714285714285,36.42857142857143,0.07142857142857142,4.357142857142857,2.0,6.5,0.0,0.38288827153382227,0.8009485879395754,1.6391086897900025,0.396701247998441,0.6515463849358127,0.09805291496100725,1.568645276402678
8,0,1,0.0,,,615,195,354,619,272,540,156,485,337,842,581,246,524,85,135490,CON,1.0,2.0,5.538461538461538,66.92307692307692,173.3846153846154,0.0,26.46153846153846,44.0,0.3076923076923077,2.0,1.1538461538461537,5.3076923076923075,0.0,0.40588110642611736,0.7434024004236502,1.6939728195384305,0.42593804825139664,0.7408164453696128,0.0971349206701152,1.8196682495080339
9,0,1,0.0,,,723,221,370,607,211,487,97,496,360,840,554,252,499,104,129951,CON,1.0,2.0,4.153846153846154,71.15384615384616,168.0,0.0,25.384615384615383,51.30769230769231,0.23076923076923078,2.4615384615384617,0.3076923076923077,4.230769230769231,0.0,0.4070904030851012,0.7529782409301301,1.762199678878996,0.2505385853867827,0.6935365993904893,0.10749176160673993,2.4917739491611153
10,0,0,,,,692,202,358,608,250,453,130,488,329,945,525,248,549,125,115496,CON,,,3.9285714285714284,71.64285714285714,169.14285714285714,0.0,24.142857142857142,45.642857142857146,0.42857142857142855,0.0,0.0,0.0,0.0,0.3839605927119392,0.6948060807113893,1.6609178929671258,0.3234711180762971,0.6787210456545038,0.0,2.1270444159397868
1,0,0,,,,699,76,341,503,260,530,88,372,331,640,513,284,543,148,107289,DET,,,6.076923076923077,71.46153846153847,162.92307692307693,0.0,25.153846153846153,21.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.4056314504846063,0.7608117752841778,1.3651883215452532,0.23494405880088037,0.7588176015418276,0.0,1.6463024030560574
2,0,0,,,,542,143,324,469,225,498,82,340,279,702,438,262,483,109,109348,DET,,,6.083333333333333,71.83333333333333,164.58333333333334,0.0,26.416666666666668,33.75,0.25,0.0,0.0,0.0,0.0,0.40230255619006,0.7460974946952187,1.37162031379867,0.24059413738238636,0.6873412218888423,0.0,1.727357825958899
3,0,0,,,,651,110,360,478,201,541,132,447,314,669,465,277,443,139,94171,DET,,,6.133333333333334,71.73333333333333,165.26666666666668,0.26666666666666666,21.866666666666667,24.266666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.37116338282265976,0.6529862657724398,1.3622574955908289,0.35904135338345866,0.5522877796342709,0.0,1.8930063651779527
