year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,total_blocks_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Points_Ratio_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
1,1,1,1,1,1,0.4,0.498,0.148,0.355,0.522,0.14,0.268,0.23,0.129,0.119,0.287,0.24,0.347,0.104,0.687,HOU,6.0,0.0,14.492173896008934,0.45799560475889256,0.7976337659077934,4.7983878412485215,0.16483252558628012,0.6469264254149261,0.3910036669912958,4.0
2,1,1,0,,,0.169,0.344,0.505,0.123,0.344,0.122,0.209,0.315,0.169,0.312,0.216,0.34,0.166,0.363,0.612,HOU,0.0,2.0,11.441917651886572,0.3825287227501186,0.7215418689784238,4.291295633244896,0.06122770179944553,0.5531354653734947,0.3503033254511748,1.0
3,1,1,0,,,0.281,0.213,0.271,0.205,0.392,0.205,0.412,0.389,0.236,0.257,0.196,0.433,0.286,0.0,0.65,HOU,1.0,2.0,13.888803024082698,0.39269682902488995,0.7058176409106803,4.176758293817283,0.1313054349676239,0.5638504799496163,0.3174557833515084,2.0
4,1,1,0,,,0.317,0.24,0.114,0.256,0.237,0.183,0.431,0.414,0.174,0.373,0.432,0.2,0.154,0.378,0.459,HOU,1.0,2.0,16.93888526765355,0.4233847794839077,0.7739977518870224,4.410965389244482,0.07292451355120616,0.6480261938383691,0.31702278342674367,2.0
5,1,0,,,,0.354,0.276,0.329,0.208,0.296,0.332,0.288,0.266,0.382,0.405,0.51,0.407,0.313,0.43,0.396,HOU,,,12.191943623925908,0.39627359383561744,0.7456748489883027,3.784772651546418,0.0,0.5137336159980108,0.2631033876050181,0.0
6,1,1,1,0,,0.535,0.0,0.162,0.263,0.317,0.074,0.275,0.242,0.039,0.317,0.517,0.0,0.351,0.296,0.313,HOU,2.0,3.0,12.500864289143617,0.43074318822386537,0.7788680052719205,3.9052191881962837,0.20848915211151506,0.6458813691410026,0.29644235711812944,2.0
7,1,1,0,,,0.506,0.484,0.29,0.485,0.349,0.69,0.137,0.405,0.393,0.582,0.466,0.673,0.498,0.133,0.362,HOU,0.0,2.0,9.508859743888655,0.44006149952525425,0.7604810862671648,4.1944973573658,0.053183733766826675,0.5658010206841826,0.28582368307468003,4.0
8,1,0,,,,0.61,0.29,0.629,0.573,0.548,0.983,0.301,0.595,0.421,0.407,0.676,0.753,0.687,0.659,0.403,HOU,,,9.096670478866994,0.4123059167402965,0.8140931324833353,3.820555594417788,0.0,0.5037704750797118,0.3106053291844595,0.0
9,1,0,,,,0.646,0.407,0.638,0.567,0.581,0.834,0.373,0.593,0.461,0.466,0.52,0.773,0.637,0.696,0.269,HOU,,,10.907486483312304,0.39751063594236663,0.7690428946139525,3.8184174176796315,0.0,0.4743914964621733,0.37016406287297826,0.0
1,0,0,,,,0.242,0.593,0.205,0.379,0.452,0.48,0.412,0.096,0.303,0.175,0.473,0.467,0.332,0.03,0.608,IND,,,11.983762318561178,0.4160994772712198,0.7022598343064663,3.1977859861093267,0.0,0.4605343478400629,0.3349725682433622,0.0
2,0,0,,,,0.295,0.43,0.21,0.232,0.296,0.362,0.359,0.116,0.219,0.246,0.598,0.393,0.293,0.511,0.403,IND,,,9.552993832032895,0.40767295575311274,0.8014994930598229,3.020746988870339,0.0,0.4350325628875158,0.29857704387792666,0.0
3,0,1,0,,,0.269,0.534,0.348,0.195,0.435,0.131,0.242,0.333,0.118,0.204,0.402,0.193,0.309,0.548,0.383,IND,1.0,2.0,10.827757296573578,0.3908451082749822,0.7736600913606676,4.092856899093708,0.1080904606317209,0.587182306674214,0.2844567528383622,1.0
4,0,0,,,,0.228,0.67,0.438,0.509,0.602,0.288,0.379,0.237,0.236,0.291,0.615,0.2,0.471,0.733,0.417,IND,,,13.190465481794686,0.3914609138168219,0.7743199231067457,3.470456846089011,0.0,0.47744506324200536,0.4062950714350141,0.0
5,0,0,,,,0.269,0.471,0.733,0.563,0.398,0.341,0.464,0.083,0.079,0.32,0.426,0.473,0.293,0.674,0.354,IND,,,14.306808778332213,0.38044341780425317,0.7574787711697291,3.671618197480638,0.0,0.48106210246293224,0.3944584422808097,1.0
6,0,1,1,0,,0.305,0.398,0.471,0.352,0.801,0.301,0.209,0.116,0.067,0.381,0.159,0.247,0.649,0.311,0.421,IND,2.0,2.0,9.993763944001254,0.3952076872616489,0.7419488887317568,3.8901565338091264,0.11330962659078009,0.5545723599488129,0.34058705325702926,1.0
