year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID
2,0,0.857,0,0.0,0.0,0.0,0.264,0.234,0.236,0.177,0.367,0.335,0.39,0.213,0.293,0.27,0.41,0.204,0.393,0.124,0.211,0.428,0.178,0.328,0.285,0.177,0.056,0.067,0.357,0.209,0.169,0.221,0.433,0.359,0.281,0.387,0.0,0.24,0.257,0.257,0.743,0.336,0.664,0.254,0.746,0.29,0.71,DET
3,0,1.0,0,0.0,0.0,0.0,0.247,0.24,0.415,0.441,0.217,0.266,0.562,0.462,0.552,0.3,0.432,0.075,0.581,0.451,0.219,0.381,0.34,0.377,0.33,0.273,0.295,0.264,0.27,0.213,0.26,0.412,0.533,0.205,0.504,0.385,0.0,0.08,0.181,0.216,0.784,0.402,0.598,0.088,0.912,0.231,0.769,DET
4,0,0.0,1,1.0,1.0,1.0,0.53,0.354,0.869,1.0,0.285,0.198,0.652,0.797,0.844,0.529,0.419,0.409,0.873,0.621,0.548,0.574,0.673,0.236,0.23,0.348,0.506,0.691,0.283,0.369,0.392,0.983,0.747,0.413,0.43,0.488,1.0,0.8,0.377,0.816,0.184,0.75,0.25,0.859,0.141,0.808,0.192,DET
5,0,0.286,1,0.5,0.0,0.0,0.472,0.479,0.666,0.782,0.0,0.007,0.738,0.599,0.728,0.594,0.55,0.484,0.459,0.556,0.408,0.456,0.466,0.393,0.338,0.5,0.488,0.326,0.431,0.352,0.429,0.792,0.613,0.409,0.444,0.477,1.0,0.72,0.512,0.505,0.495,0.438,0.562,0.624,0.376,0.559,0.441,DET
6,0,0.429,1,0.5,0.0,0.0,0.383,0.43,0.525,0.738,0.063,0.055,0.81,0.675,0.815,0.287,0.894,0.29,0.712,0.601,0.319,0.279,0.297,0.65,0.635,0.313,0.315,0.034,0.471,0.28,0.287,0.858,0.5,0.502,0.481,0.401,1.0,0.84,0.505,0.466,0.534,0.688,0.312,0.234,0.766,0.559,0.441,DET
7,0,0.143,1,1.0,1.0,1.0,0.565,0.644,0.657,0.671,0.335,0.35,0.781,0.871,0.952,0.621,0.742,0.14,0.563,0.484,0.528,0.409,0.54,0.553,0.529,0.419,0.55,0.32,0.511,0.408,0.291,0.812,0.52,0.448,0.274,0.479,1.0,0.68,0.505,0.738,0.262,0.812,0.188,0.624,0.376,0.746,0.254,DET
8,0,0.0,1,1.0,1.0,0.5,0.676,0.699,0.782,0.765,0.434,0.397,0.657,1.0,1.0,0.59,0.714,0.215,0.681,0.353,0.656,0.537,0.647,0.602,0.561,0.561,0.66,0.236,0.563,0.418,0.534,0.954,0.527,0.537,0.341,0.605,1.0,0.72,0.536,0.777,0.223,0.688,0.312,0.859,0.141,0.746,0.254,DET
9,0,0.0,1,1.0,1.0,1.0,0.68,0.745,0.666,0.666,0.48,0.454,0.776,0.777,0.878,0.73,0.781,0.489,0.384,0.359,0.637,0.484,0.524,0.645,0.607,0.621,0.673,0.32,0.513,0.41,0.446,0.933,0.213,0.703,0.356,0.591,1.0,0.76,0.521,0.699,0.301,0.812,0.188,0.546,0.454,0.87,0.13,DET
10,0,0.286,1,1.0,0.5,0.0,0.692,0.721,0.615,0.61,0.412,0.387,0.624,0.802,0.836,0.631,0.909,0.398,0.603,0.222,0.622,0.553,0.579,0.832,0.756,0.586,0.662,0.298,0.566,0.441,0.459,0.742,0.547,0.544,0.289,0.689,1.0,0.92,0.389,0.544,0.456,0.625,0.375,0.468,0.532,0.497,0.503,DET
1,1,0.143,1,1.0,1.0,1.0,0.507,0.207,0.561,0.4,0.498,0.479,0.148,0.475,0.394,0.355,0.264,0.522,0.14,0.268,0.49,0.284,0.289,0.122,0.131,0.162,0.23,0.129,0.119,0.056,0.287,0.458,0.24,0.347,0.104,0.224,0.0,0.12,0.687,0.959,0.041,0.867,0.133,1.0,0.0,0.882,0.118,HOU
2,1,0.429,1,0.5,0.0,0.0,0.208,0.226,0.245,0.169,0.344,0.385,0.505,0.439,0.512,0.123,0.128,0.344,0.122,0.209,0.169,0.177,0.228,0.1,0.123,0.303,0.315,0.169,0.312,0.211,0.216,0.096,0.34,0.166,0.363,0.166,0.0,0.08,0.612,0.629,0.371,0.668,0.332,0.585,0.415,0.645,0.355,HOU
3,1,0.143,1,0.5,0.0,0.0,0.225,0.051,0.358,0.281,0.213,0.213,0.271,0.419,0.402,0.205,0.0,0.392,0.205,0.412,0.187,0.095,0.225,0.016,0.016,0.298,0.389,0.236,0.257,0.193,0.196,0.283,0.433,0.286,0.0,0.084,0.0,0.04,0.65,0.835,0.165,0.867,0.133,0.751,0.249,0.822,0.178,HOU
4,1,0.143,1,0.5,0.0,0.0,0.376,0.236,0.418,0.317,0.24,0.233,0.114,0.576,0.458,0.256,0.07,0.237,0.183,0.431,0.316,0.372,0.391,0.0,0.008,0.389,0.414,0.174,0.373,0.257,0.432,0.4,0.2,0.154,0.378,0.285,1.0,0.68,0.459,0.621,0.379,0.812,0.188,0.39,0.61,0.601,0.399,HOU
5,1,0.714,0,0.0,0.0,0.0,0.314,0.259,0.373,0.354,0.276,0.256,0.329,0.475,0.467,0.208,0.267,0.296,0.332,0.288,0.266,0.395,0.366,0.179,0.178,0.303,0.266,0.382,0.405,0.352,0.51,0.488,0.407,0.313,0.43,0.34,1.0,0.72,0.396,0.35,0.65,0.5,0.5,0.234,0.766,0.271,0.729,HOU
6,1,0.286,1,1.0,0.5,0.0,0.443,0.242,0.579,0.535,0.0,0.0,0.162,0.373,0.322,0.263,0.347,0.317,0.074,0.275,0.365,0.428,0.296,0.255,0.236,0.283,0.242,0.039,0.317,0.17,0.517,0.612,0.0,0.351,0.296,0.382,1.0,0.76,0.313,0.583,0.417,0.625,0.375,0.546,0.454,0.497,0.503,HOU
7,1,0.286,1,0.5,0.0,0.0,0.584,0.481,0.445,0.506,0.484,0.447,0.29,0.723,0.641,0.485,0.456,0.349,0.69,0.137,0.513,0.614,0.614,0.325,0.35,0.283,0.405,0.393,0.582,0.485,0.466,0.696,0.673,0.498,0.133,0.532,1.0,0.84,0.362,0.544,0.456,0.688,0.312,0.39,0.61,0.559,0.441,HOU
8,1,0.571,0,0.0,0.0,0.0,0.557,0.549,0.66,0.61,0.29,0.268,0.629,0.591,0.678,0.573,0.571,0.548,0.983,0.301,0.516,0.605,0.567,0.686,0.564,0.556,0.595,0.421,0.407,0.368,0.676,0.579,0.753,0.687,0.659,0.676,1.0,0.64,0.403,0.35,0.65,0.375,0.625,0.39,0.61,0.441,0.559,HOU
9,1,0.571,0,0.0,0.0,0.0,0.574,0.635,0.687,0.646,0.407,0.462,0.638,0.675,0.745,0.567,0.793,0.581,0.834,0.373,0.554,0.556,0.563,0.696,0.691,0.636,0.593,0.461,0.466,0.424,0.52,0.858,0.773,0.637,0.696,0.658,1.0,0.84,0.269,0.505,0.495,0.75,0.25,0.234,0.766,0.497,0.503,HOU
1,0,0.857,0,0.0,0.0,0.0,0.31,0.132,0.284,0.242,0.593,0.529,0.205,0.279,0.268,0.379,0.532,0.452,0.48,0.412,0.293,0.407,0.212,0.482,0.461,0.086,0.096,0.303,0.175,0.157,0.473,0.308,0.467,0.332,0.03,0.404,0.0,0.04,0.608,0.216,0.784,0.27,0.73,0.254,0.746,0.29,0.71,IND
2,0,0.714,0,0.0,0.0,0.0,0.239,0.11,0.415,0.295,0.43,0.404,0.21,0.284,0.274,0.232,0.404,0.296,0.362,0.359,0.248,0.44,0.246,0.236,0.285,0.197,0.116,0.219,0.246,0.18,0.598,0.325,0.393,0.293,0.511,0.371,0.0,0.12,0.403,0.257,0.743,0.402,0.598,0.171,0.829,0.29,0.71,IND
3,0,0.429,1,0.5,0.0,0.0,0.175,0.114,0.364,0.269,0.534,0.566,0.348,0.244,0.299,0.195,0.28,0.435,0.131,0.242,0.206,0.326,0.156,0.092,0.121,0.354,0.333,0.118,0.204,0.114,0.402,0.454,0.193,0.309,0.548,0.274,0.0,0.04,0.383,0.505,0.495,0.602,0.398,0.42,0.58,0.586,0.414,IND
4,0,0.571,0,0.0,0.0,0.0,0.399,0.364,0.346,0.228,0.67,0.662,0.438,0.297,0.376,0.509,0.611,0.602,0.288,0.379,0.386,0.402,0.256,0.447,0.398,0.328,0.237,0.236,0.291,0.219,0.615,0.388,0.2,0.471,0.733,0.429,1.0,0.76,0.417,0.466,0.534,0.625,0.375,0.312,0.688,0.497,0.503,IND
5,0,0.714,0,0.0,0.0,0.0,0.299,0.364,0.349,0.269,0.471,0.462,0.733,0.426,0.595,0.563,0.523,0.398,0.341,0.464,0.282,0.326,0.209,0.518,0.514,0.146,0.083,0.079,0.32,0.186,0.426,0.271,0.473,0.293,0.674,0.368,1.0,0.72,0.354,0.427,0.573,0.562,0.438,0.312,0.688,0.373,0.627,IND
6,0,0.143,1,1.0,0.5,0.0,0.285,0.293,0.355,0.305,0.398,0.441,0.471,0.34,0.423,0.352,0.611,0.801,0.301,0.209,0.261,0.258,0.135,0.366,0.406,0.157,0.116,0.067,0.381,0.226,0.159,0.442,0.247,0.649,0.311,0.278,1.0,0.84,0.421,0.66,0.34,0.812,0.188,0.468,0.532,0.746,0.254,IND
7,0,0.286,1,0.5,0.0,0.0,0.47,0.542,0.552,0.501,0.493,0.58,0.462,0.553,0.581,0.379,0.422,0.898,0.524,0.196,0.46,0.509,0.405,0.238,0.236,0.227,0.289,0.118,0.545,0.364,0.402,0.612,0.413,0.876,0.252,0.425,1.0,0.72,0.323,0.66,0.34,0.688,0.312,0.624,0.376,0.621,0.379,IND
8,0,0.143,1,1.0,0.5,0.0,0.541,0.573,0.433,0.358,0.57,0.571,0.471,0.698,0.695,0.413,0.544,0.651,0.79,0.477,0.493,0.505,0.57,0.339,0.336,0.333,0.376,0.573,0.603,0.563,0.294,0.521,0.553,0.849,0.319,0.468,1.0,0.76,0.378,0.66,0.34,0.688,0.312,0.624,0.376,0.621,0.379,IND
9,0,0.429,1,0.5,0.0,0.0,0.476,0.589,0.484,0.453,0.742,0.765,0.51,0.612,0.645,0.375,0.79,0.737,0.773,0.667,0.488,0.528,0.498,0.583,0.537,0.217,0.224,0.399,0.704,0.576,0.301,0.504,0.647,0.842,0.437,0.538,1.0,0.88,0.364,0.505,0.495,0.625,0.375,0.39,0.61,0.621,0.379,IND
10,0,0.0,1,1.0,1.0,0.5,0.505,0.634,0.836,0.671,0.683,0.724,0.476,0.617,0.635,0.468,0.684,1.0,0.537,0.353,0.588,0.57,0.488,0.553,0.508,0.313,0.376,0.287,0.746,0.569,0.372,0.675,0.493,0.958,0.333,0.574,1.0,0.84,0.384,0.699,0.301,0.812,0.188,0.546,0.454,0.836,0.164,IND
1,1,0.0,1,1.0,0.5,0.0,0.445,0.29,0.633,0.542,0.398,0.414,0.314,0.624,0.575,0.669,0.723,0.452,0.253,0.608,0.446,0.26,0.317,0.461,0.508,0.152,0.219,0.185,0.294,0.203,0.193,0.467,0.307,0.367,0.252,0.307,0.0,0.08,0.235,1.0,0.0,0.934,0.066,1.0,0.0,0.882,0.118,LAS
2,1,0.0,1,1.0,1.0,1.0,0.559,0.391,0.346,0.303,0.443,0.387,0.514,0.553,0.602,0.703,0.453,0.505,0.131,0.49,0.464,0.267,0.341,0.247,0.211,0.505,0.644,0.152,0.159,0.093,0.507,0.221,0.247,0.243,0.319,0.304,0.0,0.12,0.45,1.0,0.0,1.0,0.0,0.917,0.083,1.0,0.0,LAS
3,1,0.0,1,1.0,1.0,1.0,0.507,0.352,0.427,0.426,0.597,0.519,0.414,0.703,0.676,0.659,0.599,0.376,0.476,0.641,0.472,0.307,0.402,0.42,0.42,0.359,0.461,0.264,0.206,0.166,0.405,0.354,0.52,0.243,0.296,0.36,0.0,0.12,0.639,0.876,0.124,0.734,0.266,1.0,0.0,0.882,0.118,LAS
4,1,0.0,1,1.0,1.0,0.5,0.514,0.537,0.609,0.506,0.507,0.541,0.448,0.701,0.687,0.672,0.653,0.296,0.271,0.641,0.507,0.47,0.52,0.485,0.529,0.525,0.503,0.275,0.587,0.449,0.622,0.483,0.293,0.301,0.415,0.518,1.0,0.8,0.498,0.777,0.223,0.625,0.375,0.937,0.063,0.756,0.244,LAS
5,1,0.0,1,0.5,0.0,0.0,0.534,0.442,0.588,0.613,0.43,0.35,0.333,0.69,0.633,0.805,0.802,0.403,0.528,0.556,0.504,0.351,0.462,0.629,0.65,0.414,0.438,0.404,0.423,0.373,0.486,0.692,0.607,0.514,0.319,0.461,1.0,0.92,0.593,0.816,0.184,0.875,0.125,0.702,0.298,0.779,0.221,LAS
6,1,0.429,1,0.5,0.0,0.0,0.47,0.405,0.367,0.39,0.281,0.305,0.376,0.371,0.407,0.549,0.821,0.414,0.367,0.477,0.378,0.358,0.308,0.547,0.543,0.455,0.456,0.365,0.376,0.325,0.605,0.483,0.333,0.595,0.326,0.448,1.0,0.64,0.461,0.505,0.495,0.625,0.375,0.39,0.61,0.554,0.446,LAS
7,1,0.0,1,1.0,0.5,0.0,0.655,0.611,0.618,0.622,0.222,0.288,0.514,0.799,0.79,0.751,0.644,0.586,0.55,0.431,0.564,0.486,0.561,0.566,0.568,0.525,0.57,0.388,0.474,0.404,0.598,0.408,0.58,0.641,0.422,0.553,1.0,0.68,0.415,0.816,0.184,0.875,0.125,0.702,0.298,0.808,0.192,LAS
8,1,0.857,0,0.0,0.0,0.0,0.609,0.758,0.478,0.383,0.443,0.42,0.543,0.624,0.668,0.56,0.805,0.312,0.712,0.288,0.533,0.674,0.592,0.77,0.73,0.5,0.497,0.427,0.712,0.592,0.77,0.279,0.62,0.618,0.489,0.74,1.0,0.8,0.447,0.233,0.767,0.25,0.75,0.312,0.688,0.215,0.785,LAS
9,1,0.286,1,1.0,0.5,0.0,0.638,0.682,0.615,0.6,0.403,0.469,0.686,0.911,0.944,0.761,0.748,0.344,0.873,1.0,0.582,0.521,0.7,0.642,0.629,0.47,0.519,0.517,0.532,0.491,0.422,0.746,0.707,0.514,0.519,0.591,1.0,0.96,0.516,0.621,0.379,0.688,0.312,0.546,0.454,0.621,0.379,LAS
10,1,0.286,1,1.0,0.5,0.0,0.678,0.703,0.304,0.196,0.407,0.514,0.586,0.878,0.878,0.672,0.353,0.161,0.699,0.673,0.533,0.556,0.647,0.417,0.367,0.611,0.718,0.298,0.431,0.342,0.432,0.35,0.687,0.282,0.326,0.571,1.0,0.84,0.59,0.544,0.456,0.625,0.375,0.468,0.532,0.559,0.441,LAS
