year,stint,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,total_points,total_rebounds,total_assists,total_blocks,total_steals,total_turnovers,FG%,FT%,award,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Usability,POSITION_METRIC,playoff,playerID,tmID,pos
9,0,34,34,920,314,78,153,231,45,75,43,42,125,226,99,166,116,1,0,2,314,231,45,43,75,42,0.43805309734513276,0.6987951807228916,0,9.235294117647058,6.794117647058823,1.3235294117647058,1.2647058823529411,2.2058823529411766,1.2352941176470589,0.6764705882352942,0.3545904343045629,0,anosini01w,MIN,C
10,0,30,29,896,396,73,149,222,81,81,28,61,88,265,130,194,135,4,1,1,396,222,81,28,81,61,0.49056603773584906,0.6958762886597938,0,13.2,7.4,2.7,0.9333333333333333,2.7,2.033333333333333,0.7466666666666667,0.2616822429906542,0,anosini01w,MIN,C
1,0,32,32,977,268,36,83,119,60,42,3,53,66,233,109,49,41,45,9,1,318,146,72,3,52,69,0.4642857142857143,0.8392857142857143,0,9.9375,4.5625,2.25,0.09375,1.625,2.15625,0.76328125,0.2058319039451115,1,arcaija01w,HOU,G
2,0,32,32,1154,591,49,87,136,94,60,3,83,82,509,217,150,135,66,22,1,620,147,99,3,62,88,0.42357274401473294,0.9013157894736842,1,19.375,4.59375,3.09375,0.09375,1.9375,2.75,0.9015625,0.20591456736035052,1,arcaija01w,HOU,G
3,0,32,32,1116,364,42,84,126,86,51,6,71,49,302,128,111,98,37,10,0,403,137,90,7,56,76,0.42433234421364985,0.8823529411764706,0,12.59375,4.28125,2.8125,0.21875,1.75,2.375,0.871875,0.22023047375160051,1,arcaija01w,HOU,G
4,0,34,34,1136,390,24,112,136,67,41,1,50,64,324,151,94,79,37,9,0,427,150,70,1,49,57,0.4591549295774648,0.8504672897196262,0,12.558823529411764,4.411764705882353,2.0588235294117645,0.029411764705882353,1.4411764705882353,1.6764705882352942,0.8352941176470589,0.24363636363636365,1,arcaija01w,HOU,G
6,0,34,34,1079,342,20,73,93,53,55,6,56,85,304,128,94,83,16,3,0,386,103,59,6,61,58,0.42729970326409494,0.8962264150943396,0,11.352941176470589,3.0294117647058822,1.7352941176470589,0.17647058823529413,1.7941176470588236,1.7058823529411764,0.7933823529411764,0.17207792207792208,1,arcaija01w,HOU,G
1,0,32,32,869,251,96,135,231,29,17,21,49,95,209,85,117,80,2,1,0,251,231,29,21,17,49,0.40669856459330145,0.6837606837606838,0,7.84375,7.21875,0.90625,0.65625,0.53125,1.53125,0.67890625,0.18399532710280372,0,askamma01w,MIA,C
2,0,30,11,431,74,35,52,87,15,12,11,19,62,58,28,32,18,0,0,0,74,87,15,11,12,19,0.4827586206896552,0.5625,0,2.466666666666667,2.9,0.5,0.36666666666666664,0.4,0.6333333333333333,0.3591666666666667,0.10280373831775699,1,askamma01w,MIA,C
3,2,20,4,215,61,24,25,49,4,11,4,11,25,55,26,14,9,1,0,0,63,52,4,4,11,11,0.43333333333333335,0.6875,0,3.15,2.6,0.2,0.2,0.55,0.55,0.26875,0.056074766355140186,1,askamma01w,LAS,C
3,1,6,1,72,11,6,5,11,3,1,1,1,9,10,4,11,3,0,0,0,11,11,3,1,1,1,0.4,0.2727272727272727,0,1.8333333333333333,1.8333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.046728971962616814,0,askamma01w,MIA,C
7,0,33,1,417,99,25,51,76,22,18,5,34,31,87,38,39,18,17,5,0,105,93,25,7,19,36,0.4166666666666667,0.46511627906976744,0,3.1818181818181817,2.8181818181818183,0.7575757575757576,0.21212121212121213,0.5757575757575758,1.0909090909090908,0.3159090909090909,0.39215686274509803,1,atkinla01w,IND,G-F
8,0,28,0,226,58,13,31,44,15,10,5,33,15,47,22,19,14,2,0,0,58,44,15,5,11,34,0.4489795918367347,0.7368421052631579,0,2.0714285714285716,1.5714285714285714,0.5357142857142857,0.17857142857142858,0.39285714285714285,1.2142857142857142,0.2017857142857143,0.0,1,atkinla01w,SAC,G-F
9,0,5,1,73,14,3,11,14,8,5,2,10,5,16,6,4,2,1,0,0,14,14,8,2,5,10,0.375,0.5,0,2.8,2.8,1.6,0.4,1.0,2.0,0.365,0.0,1,atkinla01w,SAC,G-F
10,0,2,1,46,5,6,12,18,5,10,1,4,5,8,2,2,1,1,0,0,5,18,5,1,10,4,0.25,0.5,0,2.5,9.0,2.5,0.5,5.0,2.0,0.575,0.0,1,atkinla01w,SEA,G-F
9,0,33,0,348,71,16,32,48,23,16,13,26,21,87,24,16,11,41,12,0,81,55,27,14,17,27,0.29473684210526313,0.6111111111111112,0,2.4545454545454546,1.6666666666666667,0.8181818181818182,0.42424242424242425,0.5151515151515151,0.8181818181818182,0.2636363636363636,0.39024390243902435,1,atunrmo01w,SAS,G-F
7,0,34,34,1124,744,15,113,128,50,21,18,71,58,620,283,165,148,85,30,0,744,128,50,18,21,71,0.45645161290322583,0.896969696969697,1,21.88235294117647,3.764705882352941,1.4705882352941178,0.5294117647058824,0.6176470588235294,2.088235294117647,0.8264705882352941,0.32454361054766734,0,augusse01w,MIN,F
8,0,34,34,1093,769,37,99,136,79,41,21,83,58,583,296,173,151,62,26,0,769,136,79,21,41,83,0.5077186963979416,0.8728323699421965,0,22.61764705882353,4.0,2.323529411764706,0.6176470588235294,1.2058823529411764,2.4411764705882355,0.8036764705882353,0.3448275862068966,0,augusse01w,MIN,F
9,0,31,31,1042,591,28,92,120,83,32,12,52,46,496,233,118,105,63,20,0,591,120,83,12,32,52,0.46975806451612906,0.8898305084745762,0,19.06451612903226,3.870967741935484,2.6774193548387095,0.3870967741935484,1.032258064516129,1.6774193548387097,0.8403225806451613,0.33370411568409347,0,augusse01w,MIN,F
10,0,6,6,178,126,4,21,25,9,12,3,13,5,86,49,21,19,14,9,0,126,25,9,3,12,13,0.5697674418604651,0.9047619047619048,0,21.0,4.166666666666667,1.5,0.5,2.0,2.1666666666666665,0.7416666666666667,0.3591954022988506,0,augusse01w,MIN,F
1,2,3,0,6,0,0,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0.0,0.0,0,0.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.05,0.0,0,aycocan01w,MIN,G-F
1,1,1,0,7,0,1,1,2,0,0,0,0,2,3,0,0,0,2,0,0,0,2,0,0,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.175,0.0,0,aycocan01w,SEA,G-F
4,0,7,0,44,10,2,7,9,1,0,4,3,5,14,4,4,2,0,0,0,10,9,1,4,0,3,0.2857142857142857,0.5,0,1.4285714285714286,1.2857142857142858,0.14285714285714285,0.5714285714285714,0.0,0.42857142857142855,0.15714285714285714,0.11083743842364534,0,azizle01w,IND,F
1,0,15,15,559,144,5,36,41,92,12,5,28,43,104,47,43,40,24,10,0,144,41,92,5,12,28,0.4519230769230769,0.9302325581395349,0,9.6,2.7333333333333334,6.133333333333334,0.3333333333333333,0.8,1.8666666666666667,0.9316666666666666,0.5974025974025974,0,azzije01w,SAS,G
2,0,32,32,1205,276,10,88,98,171,22,10,69,89,184,75,96,88,74,38,1,285,101,181,11,23,74,0.3979591836734694,0.9175257731958762,0,8.90625,3.15625,5.65625,0.34375,0.71875,2.3125,0.94140625,0.4505928853754941,1,azzije01w,SAS,G
3,0,32,32,1151,306,15,54,69,158,27,14,67,102,198,91,104,83,92,41,0,346,82,192,19,31,75,0.45021645021645024,0.8035714285714286,0,10.8125,2.5625,6.0,0.59375,0.96875,2.34375,0.89921875,0.42876526458616016,1,azzije01w,SAS,G
4,0,34,34,1136,260,10,81,91,111,27,9,61,98,211,85,65,51,97,39,2,260,91,111,9,27,61,0.4028436018957346,0.7846153846153846,0,7.647058823529412,2.676470588235294,3.264705882352941,0.2647058823529412,0.7941176470588235,1.7941176470588236,0.8352941176470589,0.330849478390462,0,azzije01w,SAS,G
1,0,25,0,201,47,2,9,11,21,17,1,18,16,48,17,6,5,24,8,0,55,12,22,1,19,19,0.3508771929824561,0.7142857142857143,0,2.2,0.48,0.88,0.04,0.76,0.76,0.201,0.21212121212121213,1,badertr01w,CLE,G
2,0,19,0,114,21,2,10,12,11,5,0,8,7,20,8,0,0,13,5,0,21,13,11,0,5,8,0.36363636363636365,0.0,0,1.105263157894737,0.6842105263157895,0.5789473684210527,0.0,0.2631578947368421,0.42105263157894735,0.15,0.25,1,badertr01w,CLE,G
3,0,18,0,132,14,1,6,7,15,6,1,7,3,26,4,6,5,14,1,0,14,7,15,1,6,7,0.15384615384615385,0.8333333333333334,0,0.7777777777777778,0.3888888888888889,0.8333333333333334,0.05555555555555555,0.3333333333333333,0.3888888888888889,0.18333333333333332,0.38961038961038963,0,badertr01w,CLE,G
7,0,34,16,614,251,23,33,56,35,46,2,50,69,251,97,56,48,33,9,0,251,56,35,2,46,50,0.38645418326693226,0.8571428571428571,0,7.382352941176471,1.6470588235294117,1.0294117647058822,0.058823529411764705,1.3529411764705883,1.4705882352941178,0.4514705882352941,0.12727272727272726,0,bakersh01w,NYL,G
8,2,24,11,492,203,17,52,69,77,36,2,65,58,192,63,84,70,33,7,1,203,69,77,2,36,65,0.328125,0.8333333333333334,0,8.458333333333334,2.875,3.2083333333333335,0.08333333333333333,1.5,2.7083333333333335,0.5125,0.2153846153846154,0,bakersh01w,LAS,G
8,1,3,0,13,5,0,1,1,0,0,0,0,1,2,2,0,0,1,1,0,5,1,0,0,0,0,1.0,0.0,0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.10833333333333334,0.0,1,bakersh01w,NYL,G
9,0,13,0,110,49,7,15,22,15,9,1,11,15,37,12,34,25,1,0,0,49,22,15,1,9,11,0.32432432432432434,0.7352941176470589,0,3.769230769230769,1.6923076923076923,1.1538461538461537,0.07692307692307693,0.6923076923076923,0.8461538461538461,0.21153846153846154,0.24793388429752064,1,bakersh01w,IND,G
10,0,1,0,11,7,1,0,1,1,1,0,1,1,3,2,3,3,0,0,0,7,1,1,0,1,1,0.6666666666666666,1.0,0,7.0,1.0,1.0,0.0,1.0,1.0,0.275,0.18181818181818182,1,bakersh01w,DET,G
8,0,17,0,169,55,12,33,45,2,4,13,7,14,42,24,8,7,0,0,0,55,47,3,13,4,8,0.5217391304347826,0.875,0,3.235294117647059,2.764705882352941,0.17647058823529413,0.7647058823529411,0.23529411764705882,0.47058823529411764,0.2485294117647059,0.21440351841671246,1,balesal01w,IND,C
9,2,17,9,389,82,20,82,102,11,15,29,10,37,74,30,31,21,3,1,0,82,102,11,29,15,10,0.40540540540540543,0.6774193548387096,0,4.823529411764706,6.0,0.6470588235294118,1.7058823529411764,0.8823529411764706,0.5882352941176471,0.5720588235294117,0.4782847718526662,0,balesal01w,ATL,C
9,1,14,0,126,37,7,15,22,2,5,14,3,18,36,14,9,7,5,2,0,37,22,2,14,5,3,0.3888888888888889,0.7777777777777778,0,2.642857142857143,1.5714285714285714,0.14285714285714285,1.0,0.35714285714285715,0.21428571428571427,0.225,0.2803738317757009,1,balesal01w,IND,C
1,0,9,0,21,6,2,1,3,1,0,0,2,3,7,2,4,2,2,0,0,6,3,1,0,0,2,0.2857142857142857,0.5,0,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.0,0.0,0.2222222222222222,0.058333333333333334,0.0,1,banchrh01w,SAC,C
2,0,32,30,984,378,40,151,191,63,33,57,62,81,330,141,71,66,80,30,2,422,209,70,59,35,71,0.4297520661157025,0.9024390243902439,0,13.1875,6.53125,2.1875,1.84375,1.09375,2.21875,0.76875,0.5145474137931035,1,baranel01w,MIA,F
4,0,33,7,850,278,45,136,181,64,36,43,62,69,257,107,35,31,91,33,0,278,181,64,43,36,62,0.4163424124513619,0.8857142857142857,0,8.424242424242424,5.484848484848484,1.9393939393939394,1.303030303030303,1.0909090909090908,1.878787878787879,0.6439393939393939,0.4728317659352142,0,baranel01w,NYL,F
5,0,34,33,1048,394,33,213,246,67,37,58,80,88,315,146,53,49,115,53,0,436,280,77,67,41,92,0.45609065155807366,0.9047619047619048,0,12.823529411764707,8.235294117647058,2.264705882352941,1.9705882352941178,1.2058823529411764,2.7058823529411766,0.7705882352941177,0.6237322515212982,1,baranel01w,NYL,F
6,0,33,33,953,288,39,188,227,59,25,46,59,79,236,104,55,47,85,33,1,297,235,61,48,28,60,0.4349593495934959,0.8596491228070176,0,9.0,7.121212121212121,1.8484848484848484,1.4545454545454546,0.8484848484848485,1.8181818181818181,0.7219696969696969,0.5929989550679207,1,baranel01w,NYL,F
2,0,5,0,35,2,1,5,6,4,2,0,1,3,10,1,0,0,3,0,0,2,6,4,0,2,1,0.1,0.0,0,0.4,1.2,0.8,0.0,0.4,0.2,0.175,0.7272727272727273,0,barksla01w,POR,G
3,0,17,3,285,100,18,22,40,12,8,7,23,31,101,36,26,23,22,5,0,100,40,12,7,8,23,0.3564356435643564,0.8846153846153846,0,5.882352941176471,2.3529411764705883,0.7058823529411765,0.4117647058823529,0.47058823529411764,1.3529411764705883,0.41911764705882354,0.09486166007905138,0,barksla01w,POR,G
4,0,26,0,168,59,8,25,33,5,1,3,10,21,79,21,2,2,52,15,0,59,33,5,3,1,10,0.26582278481012656,1.0,0,2.269230769230769,1.2692307692307692,0.19230769230769232,0.11538461538461539,0.038461538461538464,0.38461538461538464,0.16153846153846155,0.09090909090909091,0,barksla01w,SAS,G
1,0,5,0,18,8,2,0,2,4,0,0,2,2,5,3,4,2,1,0,0,10,3,6,0,0,3,0.5714285714285714,0.5,0,2.0,0.6,1.2,0.0,0.0,0.6,0.09,0.03448275862068966,1,barnead01w,CLE,F
2,0,3,0,3,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1.0,0.0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.025,0.028735632183908046,1,barnead01w,CLE,F
