year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
3,1,1,0,,,0.281,0.213,0.271,0.205,0.392,0.205,0.412,0.389,0.236,0.257,0.196,0.433,0.286,0.0,0.65,HOU,1.0,2.0,0.39269682902488995,0.7058176409106803,1.925824320249774,0.4897849439435932,0.5638504799496163,1.858754679150864
4,1,1,0,,,0.317,0.24,0.114,0.256,0.237,0.183,0.431,0.414,0.174,0.373,0.432,0.2,0.154,0.378,0.459,HOU,1.0,2.0,,,2.5145628432371403,0.573259753239688,0.6480261938383691,1.7368543783165624
5,1,0,,,,0.354,0.276,0.329,0.208,0.296,0.332,0.288,0.266,0.382,0.405,0.51,0.407,0.313,0.43,0.396,HOU,,,0.39627359383561744,0.7456748489883027,1.6076160226345217,0.4154240353922659,0.5137336159980108,1.5172731694509511
6,1,1,1,0,,0.535,0.0,0.162,0.263,0.317,0.074,0.275,0.242,0.039,0.317,0.517,0.0,0.351,0.296,0.313,HOU,2.0,3.0,,,2.3231747167040813,0.4481771105941572,0.6458813691410026,
7,1,1,0,,,0.506,0.484,0.29,0.485,0.349,0.69,0.137,0.405,0.393,0.582,0.466,0.673,0.498,0.133,0.362,HOU,0.0,2.0,0.44006149952525425,0.7604810862671648,2.21791323554154,0.32613173377385896,0.5658010206841826,
8,1,0,,,,0.61,0.29,0.629,0.573,0.548,0.983,0.301,0.595,0.421,0.407,0.676,0.753,0.687,0.659,0.403,HOU,,,0.4123059167402965,,2.1845689832308373,0.3342762327438506,0.5037704750797118,
9,1,0,,,,0.646,0.407,0.638,0.567,0.581,0.834,0.373,0.593,0.461,0.466,0.52,0.773,0.637,0.696,0.269,HOU,,,0.39751063594236663,0.7690428946139525,1.8463424761785756,0.3757181638867745,0.4743914964621733,
1,0,0,,,,0.242,0.593,0.205,0.379,0.452,0.48,0.412,0.096,0.303,0.175,0.473,0.467,0.332,0.03,0.608,IND,,,,,1.6809643479956091,0.40007797533673545,0.4605343478400629,
2,0,0,,,,0.295,0.43,0.21,0.232,0.296,0.362,0.359,0.116,0.219,0.246,0.598,0.393,0.293,0.511,0.403,IND,,,0.40767295575311274,0.8014994930598229,1.520884352063501,0.35193012942879276,0.4350325628875158,2.037702890359339
3,0,1,0,,,0.269,0.534,0.348,0.195,0.435,0.131,0.242,0.333,0.118,0.204,0.402,0.193,0.309,0.548,0.383,IND,1.0,2.0,0.3908451082749822,0.7736600913606676,2.3741266333129794,0.3706488909376704,0.587182306674214,2.3735181459664854
4,0,0,,,,0.228,0.67,0.438,0.509,0.602,0.288,0.379,0.237,0.236,0.291,0.615,0.2,0.471,0.733,0.417,IND,,,0.3914609138168219,0.7743199231067457,1.8545296790050643,0.4147676966752645,0.47744506324200536,2.555288028009288
5,0,0,,,,0.269,0.471,0.733,0.563,0.398,0.341,0.464,0.083,0.079,0.32,0.426,0.473,0.293,0.674,0.354,IND,,,0.38044341780425317,0.7574787711697291,1.944008705840156,0.44746782799630797,0.48106210246293224,2.601407386466406
