year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_8,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostoRebounds,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
7,1,3.0,1,0.83,0.55,0.29,848.86,2022.86,461.14,652.14,398.43,361.62,672.9,1034.52,533.9,649.76,295.57,480.14,120.29,792.81,1905.62,628.76,138.19,428.14,315.71,1014.38,494.33,659.95,236.1,570.24,129.86,33.43,145614.0,0.6,0.4,0.73,0.27,0.47,0.53,0.6,0.4,14.0,4.04,1.14,1.69,0.41,0.71,31.07,18.38,66.91,0.4,2.15,0.03,12.93,6.75,8.74,0.6,0.05,1977.49,0.34,216.14,58.18,72.83,740.14,8.06,42.97,43.27,15.33,149.11,41.43,60.55,166.78,SAC
8,1,2.75,1,0.88,0.66,0.34,866.39,2064.64,481.36,674.36,414.07,375.71,684.68,1060.39,527.68,654.82,304.18,495.61,112.21,812.61,1934.46,636.82,142.64,447.86,310.29,1015.54,497.5,666.71,238.07,585.93,133.14,33.57,146145.25,0.6,0.4,0.75,0.25,0.45,0.55,0.57,0.43,14.0,3.71,1.03,1.52,0.41,0.71,31.17,17.22,63.14,0.4,1.76,0.0,12.44,6.79,9.19,0.55,0.09,1978.73,0.24,198.75,51.22,72.94,684.79,7.3,37.9,42.13,12.66,138.32,37.59,54.94,166.47,SAC
9,1,2.81,1,0.79,0.51,0.26,874.08,2097.83,501.5,690.06,417.39,392.67,693.19,1085.86,529.75,651.97,308.81,521.25,109.72,830.03,1967.03,642.86,152.28,469.89,309.78,1017.86,507.39,671.67,246.06,599.94,134.89,33.67,145351.86,0.59,0.41,0.74,0.26,0.44,0.56,0.57,0.43,14.0,3.71,1.03,1.57,0.39,0.73,30.85,19.09,61.29,0.38,1.55,0.0,8.85,4.27,8.96,0.56,0.03,1979.69,0.31,211.03,50.26,72.9,704.63,7.19,37.55,52.93,11.21,132.02,36.93,54.77,164.44,SAC
10,1,3.03,0,0.74,0.42,0.22,878.58,2119.81,529.83,722.56,421.25,394.44,700.89,1095.33,515.83,663.31,312.33,540.17,100.14,860.61,2005.11,641.94,161.0,489.61,307.53,1031.06,524.47,694.94,251.56,611.56,151.19,33.83,144497.86,0.58,0.42,0.75,0.25,0.41,0.59,0.54,0.46,14.0,3.38,1.0,1.57,0.41,0.75,31.38,15.93,62.65,0.36,1.08,0.05,7.32,3.61,6.81,0.53,0.02,1981.03,0.27,203.08,55.05,72.62,668.22,6.12,36.98,49.24,9.59,120.15,34.97,55.1,166.74,SAC
2,1,5.0,1,0.0,0.0,0.0,858.0,1896.0,609.0,790.0,262.0,348.0,732.0,1080.0,522.0,698.0,214.0,544.0,157.0,860.0,1964.0,721.0,156.0,448.0,313.0,911.0,503.0,702.0,301.0,437.0,112.0,32.0,103442.0,0.56,0.44,0.75,0.25,0.38,0.62,0.62,0.38,15.0,5.1,0.96,2.22,0.45,0.76,28.55,23.2,84.46,0.47,0.0,0.0,0.0,0.0,0.0,0.68,0.0,1972.52,1.35,239.83,75.64,63.8,767.12,4.95,47.76,21.85,18.6,148.4,27.75,64.34,175.34,SAS
3,1,3.67,1,0.33,0.0,0.0,826.67,1864.67,541.0,713.33,250.0,312.67,760.67,1073.33,523.33,647.33,206.0,510.0,156.33,812.67,1972.0,680.33,135.33,435.33,333.67,953.0,486.33,664.0,283.67,405.67,136.0,32.0,108152.0,0.58,0.42,0.62,0.38,0.54,0.46,0.56,0.44,15.0,4.84,0.89,2.13,0.43,0.75,29.68,23.83,76.13,0.44,1.09,0.2,5.13,1.67,1.44,0.71,0.0,1972.88,0.97,258.53,73.66,62.66,843.17,5.95,42.64,23.95,21.35,151.8,27.76,66.12,175.32,SAS
4,1,3.33,0,0.67,0.0,0.0,834.83,1887.83,592.0,778.67,248.5,329.83,740.83,1070.67,500.67,656.17,217.0,516.0,167.17,831.83,2019.5,684.17,130.67,406.17,347.33,979.5,487.67,694.0,271.83,424.83,142.5,32.0,113436.0,0.6,0.4,0.69,0.31,0.52,0.48,0.56,0.44,15.0,4.22,0.91,2.25,0.42,0.74,29.59,25.47,77.42,0.44,2.18,0.05,9.43,2.3,4.1,0.71,0.0,1972.86,0.54,262.62,76.9,62.16,859.84,5.97,37.19,30.25,26.24,140.27,30.17,75.26,171.39,SAS
5,1,4.4,0,0.4,0.0,0.0,817.7,1959.9,570.4,761.6,275.1,337.9,762.5,1100.4,471.6,684.9,205.0,514.8,167.1,845.9,2082.1,708.5,138.0,436.5,364.0,1056.5,504.6,684.0,273.1,424.5,141.5,32.8,138672.0,0.5,0.5,0.62,0.38,0.38,0.62,0.5,0.5,15.0,4.75,0.97,2.06,0.42,0.72,31.49,24.39,75.69,0.44,1.34,0.02,6.58,1.81,1.71,0.67,0.0,1975.87,0.59,280.96,81.34,64.76,851.3,6.79,49.47,27.34,21.39,160.25,32.41,69.59,171.53,SAS
6,1,5.27,0,0.27,0.0,0.0,815.8,1953.27,542.93,717.07,265.73,325.93,742.0,1067.93,478.73,665.93,227.33,514.2,146.73,859.93,2055.73,660.33,149.33,447.33,350.67,1049.0,528.07,664.0,275.4,447.0,137.33,33.2,140020.33,0.42,0.58,0.53,0.47,0.31,0.69,0.43,0.57,15.0,3.22,0.98,1.83,0.42,0.69,28.49,23.34,63.52,0.27,0.49,0.0,4.12,1.32,2.78,0.63,0.07,1975.57,0.5,235.53,69.39,70.77,747.45,7.54,28.27,43.38,5.75,102.29,29.64,57.67,158.13,SAS
7,1,5.76,0,0.19,0.0,0.0,801.0,1918.9,531.52,698.48,286.67,305.95,727.14,1033.1,465.67,661.38,218.1,520.14,130.52,870.81,2056.67,646.24,147.24,436.1,350.76,1050.71,538.05,670.0,277.57,441.86,140.38,33.43,138601.38,0.36,0.64,0.47,0.53,0.26,0.74,0.34,0.66,15.0,2.67,0.76,1.75,0.41,0.77,28.84,20.42,57.28,0.3,0.28,0.0,3.26,1.34,2.75,0.61,0.0,1977.23,0.52,205.46,55.88,71.14,732.1,7.28,22.65,50.87,5.91,85.38,24.37,54.87,160.19,SAS
