year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_4,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
2,0,7.0,0,0.0,0.0,0.0,796.0,1838.0,428.0,569.0,521.0,285.0,647.0,932.0,501.0,642.0,271.0,518.0,126.0,839.0,1868.0,669.0,109.0,358.0,321.0,954.0,528.0,612.0,267.0,476.0,75.0,32.0,180270.0,0.28,0.72,0.31,0.69,0.25,0.75,0.33,0.67,7.0,3.32,1.12,1.66,0.41,0.75,30.4,18.46,68.2,0.34,0.09,0.0,0.09,0.46,0.59,0.0,1974.64,0.93,209.66,45.03,70.86,729.05,4.7,29.48,75.62,8.87,103.52,35.03,50.96,163.72,IND
3,0,6.33,1,0.0,0.0,0.0,773.33,1827.33,457.33,583.67,471.0,285.67,648.33,934.0,472.33,614.0,251.67,500.0,120.67,848.33,1888.67,611.67,123.67,364.0,311.0,962.0,552.67,614.67,259.67,469.33,118.33,32.0,152704.67,0.3,0.7,0.4,0.6,0.21,0.79,0.33,0.67,7.0,2.76,1.07,1.76,0.4,0.79,29.88,20.83,62.11,0.25,0.04,0.0,0.28,1.62,0.59,0.0,1974.42,0.74,195.97,51.55,69.92,719.29,5.38,24.84,67.91,7.16,84.63,33.76,54.76,156.92,IND
4,0,5.17,0,0.25,0.0,0.0,752.17,1826.17,456.17,581.83,507.0,300.33,640.67,941.0,459.67,586.5,259.83,469.0,110.33,826.17,1852.83,557.33,142.83,414.0,299.5,947.0,529.83,630.83,242.83,469.67,131.67,32.0,143824.83,0.4,0.6,0.51,0.49,0.29,0.71,0.45,0.55,7.0,4.54,1.28,1.79,0.41,0.78,31.0,21.2,74.03,0.43,0.9,0.13,5.79,6.58,0.64,0.18,1974.31,1.32,238.29,73.53,71.44,802.79,6.6,48.37,71.21,16.05,154.35,42.12,60.64,167.2,IND
5,0,5.1,0,0.15,0.0,0.0,786.9,1900.1,453.3,574.3,544.2,313.8,646.0,959.8,491.4,619.1,275.5,471.0,114.6,830.5,1874.9,589.6,148.5,416.8,303.3,962.6,545.9,630.9,236.5,486.6,147.0,32.8,143006.1,0.43,0.57,0.57,0.43,0.29,0.71,0.47,0.53,7.0,4.21,1.03,1.56,0.43,0.77,30.25,17.49,72.04,0.44,0.47,0.08,2.75,1.71,0.58,0.06,1976.45,0.89,233.18,62.38,72.56,725.1,6.74,46.77,63.49,16.04,139.1,33.22,50.59,169.03,IND
6,0,5.3,1,0.1,0.0,0.0,790.5,1954.9,452.9,576.0,525.6,350.2,669.7,1019.9,518.9,627.8,271.9,473.3,121.7,818.8,1871.7,628.3,141.0,396.6,293.3,966.4,534.5,621.5,246.1,480.6,158.8,33.4,135010.2,0.45,0.55,0.6,0.4,0.3,0.7,0.46,0.54,7.0,4.5,1.08,1.65,0.41,0.77,31.52,20.34,79.37,0.41,0.35,0.05,1.93,1.23,0.59,0.08,1976.21,1.51,251.39,65.8,72.72,760.84,7.02,52.08,59.14,17.55,149.45,35.46,53.96,170.81,IND
7,0,4.0,1,0.45,0.2,0.0,791.8,1971.2,451.1,582.6,505.8,353.5,674.0,1027.5,516.2,648.4,299.3,475.2,112.4,799.0,1842.0,643.2,133.1,383.0,286.5,977.1,492.9,629.4,242.0,512.4,142.3,33.8,137544.4,0.52,0.48,0.7,0.3,0.35,0.65,0.56,0.44,7.0,3.64,1.11,1.68,0.39,0.76,32.2,20.2,72.48,0.33,0.27,0.07,3.65,2.28,0.61,0.09,1977.54,0.62,244.37,65.44,71.1,801.12,8.12,37.12,78.86,12.33,125.75,37.93,57.54,165.79,IND
8,0,3.5,1,0.5,0.15,0.0,826.5,2048.3,477.7,621.2,517.0,350.5,709.7,1060.2,513.2,637.4,324.5,498.9,104.6,830.2,1920.4,619.0,131.6,400.2,286.0,1013.8,493.1,650.9,250.1,558.6,125.3,34.0,131831.0,0.57,0.43,0.71,0.29,0.42,0.58,0.58,0.42,7.0,4.29,1.33,1.92,0.4,0.75,32.89,25.4,79.9,0.38,0.37,0.14,3.79,3.3,0.67,0.11,1977.47,0.77,284.38,78.09,71.69,888.6,8.43,44.89,70.91,16.21,149.45,45.92,67.16,171.64,IND
9,0,2.7,1,0.75,0.3,0.0,860.6,2102.7,482.0,626.6,525.4,345.9,756.0,1101.9,508.8,637.7,322.7,538.0,114.7,852.7,2035.8,608.8,141.0,435.0,317.9,1078.8,480.5,659.8,263.3,587.3,115.9,34.0,131794.1,0.6,0.4,0.72,0.28,0.48,0.52,0.6,0.4,7.0,3.6,1.25,1.86,0.41,0.76,30.83,19.67,69.87,0.32,0.96,0.08,6.16,7.31,0.59,0.13,1979.75,0.62,237.46,60.88,71.33,750.08,6.91,33.34,73.47,13.75,121.52,41.95,62.51,168.93,IND
10,0,3.0,1,0.7,0.2,0.0,875.5,2146.3,490.2,642.2,585.6,343.8,772.9,1116.7,502.8,672.6,326.4,564.0,134.9,874.8,2096.8,640.8,141.1,436.4,331.4,1128.8,478.2,663.9,276.8,605.4,118.5,34.0,131353.9,0.57,0.43,0.69,0.31,0.45,0.55,0.61,0.39,7.0,4.31,1.29,1.9,0.41,0.75,30.0,23.25,75.43,0.43,1.62,0.07,9.86,7.27,0.62,0.18,1978.23,0.6,230.08,66.55,72.06,751.64,7.68,42.6,53.79,17.25,145.04,42.63,62.77,174.5,IND
11,0,2.3,1,0.8,0.5,0.2,887.5,2186.3,541.1,686.2,617.7,343.6,783.3,1126.9,513.1,684.7,343.4,558.5,132.8,895.4,2128.0,666.1,147.4,458.7,331.2,1157.0,488.0,678.8,278.5,621.3,118.7,34.0,132327.7,0.59,0.41,0.74,0.26,0.45,0.55,0.67,0.33,9.42,4.24,1.22,1.93,0.4,0.8,30.66,19.01,74.97,0.38,3.98,0.05,21.6,17.11,0.62,0.08,1981.52,1.11,274.62,83.01,71.77,767.95,5.98,36.85,78.14,23.11,155.95,44.23,69.96,165.79,IND
2,1,1.0,1,1.0,0.5,0.0,861.0,1956.0,545.0,693.0,452.0,308.0,783.0,1091.0,586.0,705.0,271.0,466.0,156.0,776.0,1963.0,692.0,122.0,413.0,300.0,978.0,445.0,650.0,243.0,485.0,105.0,32.0,105005.0,0.88,0.12,0.94,0.06,0.81,0.19,0.81,0.19,8.0,5.08,1.13,1.91,0.45,0.77,31.23,25.91,96.43,0.45,1.63,0.15,8.12,7.92,0.67,0.0,1973.63,2.26,270.0,74.69,71.93,838.6,7.66,43.98,48.64,25.56,176.58,38.27,67.09,167.04,LAS
3,1,1.0,1,1.0,0.83,0.67,897.67,2006.0,481.0,627.0,441.33,336.0,764.33,1100.33,592.67,645.67,277.67,447.33,144.0,778.0,1977.67,595.33,168.67,539.67,296.0,940.0,507.0,610.67,237.0,463.67,111.0,32.0,133965.67,0.87,0.12,0.98,0.02,0.77,0.23,0.87,0.13,8.0,4.64,1.1,1.95,0.44,0.74,30.39,23.19,83.23,0.4,5.92,0.05,13.34,8.75,0.67,0.11,1972.84,1.49,291.28,71.7,71.85,820.14,7.82,42.73,64.85,27.18,170.46,38.63,69.11,166.09,LAS
4,1,1.0,1,1.0,0.92,0.83,894.33,2004.0,478.5,636.0,478.17,332.5,789.17,1121.67,587.83,654.83,267.33,482.17,152.5,787.0,2008.83,622.17,165.83,530.33,305.0,949.5,507.5,616.83,256.0,458.33,111.0,32.0,160187.83,0.83,0.17,0.86,0.14,0.79,0.21,0.84,0.16,8.0,4.52,1.01,1.98,0.44,0.75,30.79,23.76,83.35,0.42,4.21,0.18,12.61,9.59,0.66,0.16,1972.76,1.74,273.41,65.79,72.4,813.74,7.49,39.67,66.7,25.19,162.03,36.91,70.34,169.37,LAS
5,1,1.0,1,1.0,0.95,0.7,894.2,2058.4,501.9,652.8,498.1,333.9,798.7,1132.6,587.5,665.7,257.2,477.3,155.9,818.6,2064.1,654.1,177.9,534.2,309.4,1011.7,533.3,631.7,250.0,462.2,117.4,32.8,159286.3,0.78,0.22,0.78,0.22,0.78,0.22,0.79,0.21,8.0,5.03,1.14,2.34,0.43,0.77,31.09,29.12,88.26,0.44,5.49,0.23,19.6,14.93,0.76,0.17,1974.18,1.6,284.89,75.0,71.97,946.56,8.61,40.31,62.87,29.14,188.69,44.44,86.74,170.06,LAS
6,1,1.0,1,0.8,0.6,0.45,899.6,2073.1,513.2,680.6,470.6,326.4,805.8,1132.2,602.7,691.4,256.9,499.8,153.5,822.9,2088.6,699.5,180.2,530.9,322.6,1041.8,539.8,661.5,265.9,485.5,117.3,33.4,170414.4,0.75,0.25,0.8,0.2,0.7,0.3,0.76,0.24,8.0,4.86,1.0,2.04,0.42,0.77,28.99,22.9,76.23,0.42,3.05,0.14,11.24,9.01,0.68,0.14,1976.68,0.91,278.88,70.58,72.47,810.72,8.21,37.17,56.29,22.2,162.92,34.4,69.94,168.17,LAS
7,1,2.2,1,0.65,0.3,0.2,888.3,2065.7,496.4,668.7,436.1,322.1,759.9,1082.0,583.9,716.9,258.3,501.2,147.1,824.5,2043.9,717.2,180.5,521.0,329.1,1053.1,551.6,665.9,260.9,513.4,116.7,33.8,163616.9,0.64,0.36,0.73,0.27,0.55,0.45,0.66,0.34,8.0,4.82,1.02,1.94,0.44,0.74,29.86,21.64,81.28,0.46,2.28,0.04,6.12,2.77,0.65,0.24,1977.72,1.31,271.61,62.49,71.89,795.19,7.83,37.41,34.59,23.71,155.95,33.49,63.38,162.68,LAS
8,1,1.9,0,0.75,0.3,0.05,916.9,2118.4,512.5,691.6,402.5,332.3,788.8,1121.1,593.2,707.1,274.2,514.0,138.1,844.2,2093.8,723.5,187.4,539.9,333.4,1068.8,559.7,656.8,269.4,537.0,121.2,34.0,152916.3,0.66,0.34,0.79,0.21,0.54,0.46,0.68,0.32,8.0,4.62,0.93,1.66,0.44,0.76,29.8,19.93,71.33,0.46,1.72,0.04,7.06,3.69,0.62,0.16,1977.56,0.67,240.31,56.41,72.4,749.26,7.66,43.09,23.04,14.29,156.3,31.1,54.6,167.32,LAS
9,1,4.0,1,0.45,0.15,0.0,929.6,2195.8,503.4,666.8,414.3,342.8,786.3,1129.1,577.4,717.0,265.8,539.9,123.5,888.6,2140.5,754.2,189.0,540.7,338.3,1111.0,582.5,634.0,279.4,547.9,127.6,34.0,149339.7,0.51,0.49,0.6,0.4,0.42,0.58,0.52,0.48,8.0,4.66,0.94,1.83,0.43,0.76,30.41,20.68,78.67,0.36,2.56,0.02,5.49,1.41,0.59,0.1,1977.75,1.11,252.02,56.45,66.67,724.19,7.53,39.08,42.19,27.6,157.51,30.57,58.79,173.63,LAS
10,1,3.9,1,0.65,0.3,0.0,943.3,2233.9,517.1,683.1,444.9,363.3,832.0,1195.3,588.5,714.3,259.5,570.5,157.9,897.8,2219.9,755.5,188.7,545.8,346.9,1125.0,559.7,660.9,289.7,539.8,134.6,34.0,152307.1,0.52,0.48,0.61,0.39,0.43,0.57,0.53,0.47,8.0,5.49,1.11,2.59,0.42,0.75,31.1,26.39,77.6,0.46,3.6,0.14,9.81,5.48,0.69,0.27,1978.18,0.99,325.43,82.92,71.79,863.07,7.44,46.42,63.21,33.43,193.7,38.12,88.72,167.76,LAS
11,1,3.6,1,0.8,0.4,0.0,959.6,2260.5,488.3,633.1,479.2,368.0,863.8,1231.8,590.5,661.4,240.7,577.2,165.5,905.7,2258.6,706.6,198.5,582.9,337.9,1102.1,540.0,648.5,297.3,507.7,128.5,34.0,162816.7,0.52,0.48,0.62,0.38,0.42,0.58,0.53,0.47,9.42,5.33,1.04,2.34,0.42,0.8,30.84,25.25,70.61,0.52,3.04,0.11,12.2,6.92,0.7,0.13,1979.8,0.76,281.3,65.67,73.1,870.16,6.47,43.59,64.78,24.15,187.3,37.46,80.5,175.98,LAS
2,0,6.0,1,0.0,0.0,0.0,647.0,1774.0,452.0,664.0,310.0,365.0,595.0,960.0,415.0,707.0,272.0,524.0,88.0,715.0,1676.0,627.0,117.0,315.0,275.0,923.0,416.0,661.0,247.0,528.0,118.0,32.0,127721.0,0.41,0.59,0.56,0.44,0.25,0.75,0.43,0.57,9.0,3.61,0.96,1.67,0.39,0.68,30.7,23.38,70.3,0.3,0.0,0.0,0.0,0.0,0.6,0.0,1972.8,0.3,209.37,50.62,70.77,744.94,4.75,40.37,31.27,7.77,111.16,29.51,51.68,154.84,MIA
3,0,4.0,0,0.33,0.0,0.0,718.33,1808.67,388.0,534.0,300.0,316.33,632.33,948.67,449.67,637.0,290.67,473.33,131.33,691.0,1708.67,601.0,119.0,368.33,292.33,953.0,397.33,579.0,255.0,517.33,97.33,32.0,137051.67,0.55,0.45,0.6,0.4,0.5,0.5,0.59,0.41,9.0,3.17,1.06,1.53,0.41,0.72,30.03,21.17,65.79,0.3,0.76,0.12,5.0,2.75,0.59,0.1,1972.44,0.45,208.66,42.18,71.23,725.44,5.62,33.29,42.14,11.7,104.32,34.32,49.22,160.72,MIA
2,1,6.0,0,0.0,0.0,0.0,770.0,1831.0,449.0,592.0,571.0,258.0,612.0,870.0,495.0,690.0,237.0,497.0,63.0,755.0,1758.0,702.0,164.0,481.0,300.0,977.0,472.0,707.0,275.0,547.0,130.0,32.0,116638.0,0.47,0.53,0.5,0.5,0.44,0.56,0.24,0.76,10.0,3.05,1.03,1.95,0.41,0.75,30.79,20.99,75.68,0.3,0.0,0.0,0.0,0.0,0.63,0.26,1975.57,1.27,309.98,76.66,71.23,794.09,7.1,29.39,116.33,8.0,96.12,32.56,61.17,165.65,MIN
3,1,6.0,0,0.0,0.0,0.0,704.0,1817.0,522.33,682.0,558.33,291.33,666.0,957.33,456.33,693.33,219.0,503.67,105.67,753.0,1870.67,650.0,156.67,475.0,318.67,1003.0,498.0,715.0,264.33,495.67,127.33,32.0,119284.0,0.41,0.59,0.42,0.58,0.4,0.6,0.37,0.63,10.0,3.84,0.89,2.01,0.37,0.77,26.44,17.87,62.87,0.39,0.0,0.0,0.0,0.0,0.64,0.03,1976.34,0.81,252.25,87.81,72.46,710.57,6.88,30.64,89.13,8.66,102.75,24.03,54.82,174.12,MIN
4,1,7.0,1,0.0,0.0,0.0,715.5,1796.0,452.67,630.0,529.17,300.17,658.0,958.17,461.17,655.17,222.5,516.33,103.83,750.0,1838.83,631.5,148.83,432.0,310.33,958.5,496.5,666.5,268.67,480.33,122.17,32.0,129579.0,0.36,0.64,0.43,0.57,0.29,0.71,0.33,0.67,10.0,3.48,1.02,1.94,0.4,0.7,28.91,19.89,64.87,0.38,0.0,0.06,0.71,0.58,0.65,0.0,1976.62,0.61,270.4,65.29,72.25,772.24,7.49,31.23,83.3,8.45,102.98,30.7,57.71,168.67,MIN
5,1,5.8,1,0.2,0.0,0.0,779.3,1868.8,451.6,627.6,527.1,324.5,682.0,1006.5,508.7,646.7,230.3,533.0,102.7,801.2,1930.1,632.1,145.7,437.6,321.0,970.7,509.1,666.3,269.6,476.6,123.7,32.8,125848.6,0.43,0.57,0.52,0.48,0.34,0.66,0.43,0.57,10.0,3.36,1.0,2.22,0.38,0.75,30.99,25.4,74.22,0.36,0.52,0.0,3.79,6.05,0.65,0.0,1974.79,0.84,243.37,64.64,71.78,818.71,7.29,29.9,97.07,10.84,109.99,33.85,73.74,167.22,MIN
6,1,4.6,0,0.35,0.0,0.0,781.8,1889.4,449.1,631.5,529.2,333.7,704.3,1038.0,521.3,647.1,241.6,569.1,119.0,809.6,1963.0,642.5,122.6,390.8,323.5,995.5,511.7,665.7,295.0,482.1,127.0,33.4,126150.2,0.47,0.53,0.58,0.42,0.36,0.64,0.49,0.51,10.0,3.13,0.69,1.69,0.41,0.71,29.24,15.92,63.58,0.39,0.41,0.0,3.28,2.34,0.55,0.0,1978.74,0.55,209.37,58.99,72.22,658.32,7.04,31.02,59.93,15.73,99.17,20.73,53.63,170.52,MIN
7,1,4.9,0,0.25,0.0,0.0,798.2,1921.5,439.3,615.0,514.2,326.7,711.8,1038.5,532.8,636.1,251.3,562.8,122.9,836.3,1993.3,625.4,121.5,377.5,332.1,1022.0,522.3,663.8,291.4,486.1,134.4,33.8,120945.9,0.46,0.54,0.63,0.37,0.3,0.7,0.47,0.53,10.0,3.62,0.78,1.79,0.41,0.7,30.11,17.57,67.36,0.45,0.18,0.0,1.39,0.68,0.52,0.0,1980.77,0.46,202.52,51.68,73.78,648.5,6.23,35.46,26.65,17.99,114.59,23.81,56.66,177.65,MIN
8,1,5.6,0,0.15,0.0,0.0,859.2,2046.0,460.9,643.1,476.0,331.5,752.7,1084.2,518.9,644.2,230.2,551.2,121.2,908.8,2132.4,662.3,142.8,440.2,350.3,1104.2,565.5,654.5,299.4,468.8,132.0,34.0,114887.6,0.4,0.6,0.58,0.42,0.22,0.78,0.41,0.59,10.0,3.33,0.66,1.83,0.42,0.77,31.86,23.01,62.74,0.36,0.08,0.0,0.65,0.4,0.6,0.24,1982.41,0.1,300.32,74.01,72.44,795.36,5.32,27.31,55.45,11.69,110.23,21.18,60.58,171.83,MIN
9,1,6.0,0,0.05,0.0,0.0,908.8,2184.5,490.7,658.1,476.7,356.0,770.6,1126.6,544.5,672.2,230.4,551.9,111.2,949.2,2173.2,715.0,153.5,455.2,339.9,1123.0,571.7,648.5,292.3,490.6,138.1,34.0,116463.3,0.34,0.66,0.5,0.5,0.18,0.82,0.37,0.63,10.0,3.98,0.76,1.87,0.42,0.77,31.1,24.26,65.81,0.37,0.12,0.0,1.44,2.27,0.63,0.06,1981.45,0.51,288.03,70.86,72.95,792.25,5.91,35.01,44.99,16.85,126.56,24.47,59.19,175.77,MIN
10,1,6.6,0,0.0,0.0,0.0,956.8,2264.5,560.8,744.1,447.0,359.3,784.6,1143.9,552.9,707.5,259.4,516.7,116.2,973.0,2211.2,762.1,161.7,478.7,344.2,1166.5,583.0,685.8,272.0,526.6,139.3,34.0,116940.0,0.38,0.62,0.49,0.51,0.26,0.74,0.37,0.63,10.0,4.18,1.18,1.66,0.44,0.79,31.21,18.97,80.49,0.33,0.16,0.0,2.03,1.81,0.63,0.18,1983.8,1.22,287.71,89.75,72.37,794.41,4.11,41.79,49.09,17.55,136.5,38.59,54.01,173.24,MIN
11,1,6.0,0,0.0,0.0,0.0,965.6,2285.8,586.7,768.5,543.0,349.3,779.8,1129.1,539.0,710.5,280.0,512.0,120.8,1006.6,2240.4,756.0,176.6,496.2,332.6,1173.6,587.2,694.3,261.0,540.5,139.8,34.0,121945.7,0.39,0.61,0.5,0.5,0.29,0.71,0.36,0.64,9.42,5.09,1.36,1.98,0.45,0.78,31.15,24.67,81.32,0.42,1.62,0.09,5.05,3.15,0.69,0.07,1981.8,0.69,303.41,85.15,71.76,860.42,4.75,47.76,55.84,14.75,171.72,44.12,66.82,169.16,MIN
2,0,1.0,1,1.0,1.0,0.5,792.0,1815.0,429.0,567.0,396.0,288.0,652.0,940.0,477.0,617.0,246.0,474.0,102.0,741.0,1822.0,590.0,116.0,420.0,320.0,967.0,462.0,645.0,223.0,479.0,94.0,32.0,231962.0,0.62,0.38,0.75,0.25,0.5,0.5,0.67,0.33,11.0,3.87,1.07,2.03,0.43,0.78,30.21,21.51,73.86,0.4,2.6,0.28,12.01,8.78,0.7,0.13,1971.63,0.86,222.53,54.84,69.98,843.22,6.99,35.61,52.79,13.99,141.36,41.29,73.25,164.34,NYL
3,0,1.67,1,1.0,0.67,0.17,819.33,1823.67,367.0,522.33,412.67,266.0,657.33,923.33,527.67,616.33,258.67,449.33,88.67,743.0,1780.0,623.33,127.33,402.67,309.33,977.67,440.67,615.0,223.0,490.33,82.0,32.0,244364.0,0.65,0.35,0.79,0.21,0.5,0.5,0.63,0.37,11.0,3.88,1.15,1.82,0.44,0.74,31.0,23.35,77.42,0.42,2.65,0.21,11.17,10.05,0.68,0.12,1971.56,0.78,244.77,49.42,70.76,844.33,7.29,35.25,53.71,12.79,145.25,43.18,67.32,167.22,NYL
4,0,1.33,0,1.0,0.83,0.33,795.67,1781.83,383.5,544.67,406.33,263.0,633.67,896.67,511.83,627.17,259.83,453.67,94.33,717.0,1756.5,634.17,138.17,418.33,310.67,969.33,425.33,606.0,225.5,484.17,85.0,32.0,239540.5,0.6,0.4,0.71,0.29,0.5,0.5,0.58,0.42,11.0,4.13,1.14,1.86,0.44,0.75,31.22,26.65,80.61,0.45,2.04,0.1,15.64,13.76,0.72,0.03,1972.2,0.95,270.16,56.42,71.56,915.02,7.72,36.24,63.97,19.12,157.53,42.55,70.02,169.54,NYL
5,0,3.2,1,0.6,0.5,0.2,807.4,1838.3,394.9,541.6,443.8,266.2,654.6,920.8,517.9,611.1,260.7,460.2,107.8,758.6,1837.5,612.9,144.9,437.8,316.8,1006.4,457.6,609.2,242.9,482.5,89.4,32.8,228662.7,0.55,0.45,0.68,0.32,0.42,0.58,0.53,0.47,11.0,4.03,0.99,1.75,0.45,0.81,30.17,20.49,69.42,0.41,1.03,0.05,6.89,7.67,0.67,0.02,1974.21,0.58,254.02,52.15,72.29,818.22,8.08,37.11,65.74,17.08,137.44,33.84,58.28,168.58,NYL
6,0,3.0,1,0.7,0.45,0.1,812.8,1880.5,396.4,536.9,518.9,264.0,690.2,954.2,528.2,600.1,240.9,478.7,116.2,805.7,1948.6,598.9,142.4,432.7,339.0,1049.5,483.6,599.2,263.8,461.2,103.2,33.4,202928.5,0.53,0.47,0.66,0.34,0.4,0.6,0.5,0.5,11.0,3.32,0.78,1.62,0.44,0.8,29.75,18.04,62.06,0.35,1.51,0.06,4.94,10.94,0.62,0.0,1975.97,0.24,220.74,42.88,71.84,752.45,7.41,25.59,78.55,16.21,113.46,27.1,53.78,164.04,NYL
7,0,3.1,0,0.6,0.25,0.05,819.1,1882.2,422.6,544.2,567.1,255.9,713.3,969.2,515.9,602.5,226.8,476.4,117.6,837.0,1998.7,597.6,135.5,420.8,345.7,1050.8,486.5,595.2,273.0,437.2,99.3,33.8,185311.9,0.52,0.48,0.62,0.38,0.42,0.58,0.47,0.53,11.0,2.23,0.68,1.54,0.43,0.77,29.02,9.04,53.04,0.29,0.58,0.1,3.05,5.63,0.47,0.0,1978.99,0.13,165.23,42.88,72.02,569.32,7.83,18.67,59.82,9.19,74.48,21.82,50.1,164.1,NYL
8,0,3.9,1,0.35,0.1,0.0,823.5,1964.3,461.2,585.5,612.9,266.3,730.8,997.1,499.9,629.6,233.0,517.2,116.0,899.6,2079.9,645.1,147.8,433.7,346.7,1104.6,499.1,623.4,275.0,451.3,113.6,34.0,168580.5,0.44,0.56,0.54,0.46,0.35,0.65,0.42,0.58,11.0,2.75,0.77,1.39,0.4,0.73,30.07,12.09,61.24,0.28,0.15,0.0,1.26,1.54,0.47,0.0,1981.27,0.26,174.37,41.41,72.18,604.05,5.77,25.91,53.49,10.22,89.97,24.7,44.97,170.68,NYL
9,0,3.9,1,0.4,0.05,0.0,842.1,2020.7,455.8,590.5,637.4,275.0,756.5,1031.5,496.0,630.7,254.9,560.6,112.0,916.3,2147.1,643.7,165.5,495.1,359.6,1154.0,502.3,620.5,293.2,495.5,115.7,34.0,156943.2,0.44,0.56,0.54,0.46,0.35,0.65,0.44,0.56,11.0,3.17,0.85,1.69,0.4,0.73,30.44,15.26,63.22,0.27,0.58,0.0,3.52,4.21,0.52,0.05,1982.54,0.25,198.0,43.29,72.67,669.71,4.94,27.25,68.1,13.2,109.8,29.19,56.83,175.46,NYL
10,0,3.7,0,0.6,0.2,0.0,873.0,2093.1,472.6,620.4,667.8,298.1,768.0,1066.1,515.2,643.5,274.5,563.8,113.1,924.7,2163.9,660.5,173.3,502.7,356.9,1172.1,500.0,625.0,291.8,530.3,113.5,34.0,154116.3,0.48,0.52,0.58,0.42,0.39,0.61,0.49,0.52,11.0,3.45,0.91,1.65,0.41,0.74,31.68,18.24,65.99,0.31,1.28,0.0,5.31,8.3,0.55,0.03,1983.36,0.35,217.29,46.19,72.47,701.45,4.12,32.56,71.42,13.17,123.05,31.49,57.83,174.88,NYL
11,0,5.0,1,0.4,0.15,0.0,889.8,2141.9,467.4,609.7,690.9,296.0,785.4,1081.4,523.2,642.3,280.4,561.3,116.5,920.2,2171.6,667.4,184.1,531.0,348.5,1193.6,494.2,611.9,284.3,547.8,118.7,34.0,157851.2,0.45,0.55,0.54,0.46,0.35,0.65,0.46,0.54,9.42,3.41,0.8,1.55,0.41,0.79,32.2,18.32,66.91,0.36,1.17,0.03,10.1,6.64,0.53,0.05,1984.11,0.49,288.87,63.36,72.86,704.1,3.69,34.23,78.77,10.15,126.23,28.04,56.63,175.85,NYL
2,1,4.0,0,0.5,0.0,0.0,803.0,1800.0,513.0,661.0,394.0,275.0,619.0,894.0,465.0,630.0,285.0,429.0,91.0,773.0,1828.0,574.0,135.0,416.0,334.0,969.0,486.0,699.0,224.0,531.0,91.0,32.0,161075.0,0.62,0.38,0.69,0.31,0.56,0.44,0.52,0.48,12.0,3.31,1.15,1.65,0.42,0.77,29.01,19.86,60.53,0.43,1.06,0.0,3.85,5.07,0.62,0.0,1971.37,0.61,235.54,62.07,71.78,733.68,4.27,29.61,50.8,12.64,104.13,35.13,51.48,161.92,PHO
3,1,4.67,0,0.17,0.0,0.0,779.0,1862.67,457.0,611.67,340.0,291.67,634.33,926.0,497.67,626.67,289.67,489.0,122.33,781.0,1870.67,580.67,136.33,399.33,333.33,1010.33,511.33,635.0,263.33,521.67,115.0,32.0,145011.0,0.48,0.52,0.65,0.35,0.31,0.69,0.43,0.57,12.0,2.85,0.74,1.51,0.39,0.74,26.36,14.32,50.5,0.31,0.32,0.0,0.93,0.45,0.49,0.0,1974.03,0.22,160.25,35.55,73.4,549.87,4.37,23.03,27.16,8.76,79.18,21.59,43.33,167.24,PHO
4,1,5.83,0,0.08,0.0,0.0,786.0,1875.83,431.0,574.83,334.0,291.83,630.17,922.0,462.33,624.83,278.33,495.0,108.17,815.5,1870.33,594.33,145.67,393.67,321.17,1005.67,521.67,617.5,265.67,506.33,121.0,32.0,142404.5,0.41,0.59,0.64,0.36,0.19,0.81,0.38,0.62,12.0,2.64,0.91,1.51,0.39,0.72,29.18,11.73,57.48,0.32,0.03,0.0,0.17,0.21,0.47,0.0,1976.84,0.11,139.25,29.17,71.11,563.3,6.23,25.97,29.65,6.22,79.55,27.2,44.97,155.28,PHO
5,1,6.3,0,0.05,0.0,0.0,792.0,1963.5,410.2,567.3,340.0,317.9,635.3,953.2,461.8,640.5,291.0,488.6,109.3,822.9,1869.0,607.0,141.8,384.6,313.9,1049.0,516.6,637.3,269.4,547.8,131.0,32.8,143247.1,0.34,0.66,0.52,0.48,0.16,0.84,0.31,0.69,12.0,2.84,0.95,1.59,0.41,0.74,30.69,18.3,62.65,0.3,0.11,0.0,1.37,1.57,0.56,0.0,1977.36,0.73,208.83,49.74,71.83,698.54,7.33,30.69,61.22,9.42,89.04,30.52,49.96,166.28,PHO
