year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_7,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostSteals,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
4,0,4.17,1,0.33,0.08,0.0,769.17,1804.67,410.0,539.83,366.5,301.67,658.17,959.83,497.5,568.67,242.67,463.17,84.33,748.83,1792.17,505.67,138.33,420.83,284.17,901.5,499.67,621.0,246.83,471.33,112.67,32.0,146588.33,0.47,0.53,0.55,0.45,0.4,0.6,0.51,0.49,3.0,3.97,0.93,1.78,0.41,0.75,28.8,19.75,63.09,0.3,0.4,0.0,1.74,3.19,2.96,0.62,0.02,1976.14,0.78,237.82,52.51,70.63,740.02,7.44,36.3,53.36,8.04,123.27,29.83,54.73,161.74,CLE
2,0,3.0,0,0.5,0.0,0.0,833.0,1911.0,397.0,546.0,424.0,319.0,606.0,925.0,473.0,583.0,255.0,486.0,130.0,851.0,1964.0,495.0,153.0,450.0,348.0,1017.0,536.0,637.0,264.0,500.0,108.0,32.0,117810.0,0.5,0.5,0.69,0.31,0.31,0.69,0.62,0.38,4.0,4.5,1.25,2.13,0.43,0.72,30.72,24.96,79.46,0.5,2.19,0.0,2.73,4.6,5.31,0.69,0.0,1973.28,0.7,260.26,60.94,71.98,869.94,7.44,48.28,48.07,23.33,154.69,42.16,72.11,175.09,CON
3,0,4.33,0,0.17,0.0,0.0,789.67,1913.0,419.0,573.33,496.0,343.67,611.33,955.0,459.0,623.0,298.33,516.67,126.67,821.0,1875.33,568.33,155.67,442.0,326.67,989.0,534.67,612.33,286.67,530.67,112.0,32.0,118519.33,0.44,0.56,0.65,0.35,0.23,0.77,0.49,0.51,4.0,4.04,1.13,1.9,0.41,0.74,29.04,21.97,70.27,0.41,0.56,0.0,0.71,1.68,2.28,0.66,0.0,1974.54,0.63,247.86,50.07,71.93,791.33,7.22,41.75,65.28,13.13,124.6,34.37,58.36,170.53,CON
4,0,4.67,1,0.08,0.0,0.0,798.83,1913.5,456.0,609.67,478.5,331.83,603.17,935.0,452.5,646.0,296.67,486.33,119.83,812.5,1868.67,618.17,155.83,432.0,344.33,1017.5,526.83,624.67,268.83,535.83,110.0,32.0,116178.17,0.47,0.53,0.64,0.36,0.3,0.7,0.56,0.44,4.0,4.07,1.35,1.8,0.41,0.74,29.64,22.88,72.15,0.44,0.18,0.0,0.47,0.54,1.07,0.68,0.04,1973.64,0.55,240.62,55.19,70.75,808.49,7.59,39.85,63.26,10.32,122.24,40.82,54.24,165.25,CON
5,0,4.0,1,0.45,0.2,0.0,824.9,1988.9,465.2,624.2,506.7,332.3,666.7,999.0,479.5,652.8,286.0,465.4,116.3,833.1,1962.8,640.1,162.3,473.6,353.0,1081.7,537.3,642.4,262.1,511.9,101.2,32.8,110680.1,0.49,0.51,0.62,0.38,0.37,0.63,0.52,0.48,4.0,4.38,1.24,1.65,0.43,0.75,30.75,22.36,78.58,0.49,0.62,0.0,1.48,3.85,2.54,0.66,0.03,1974.29,0.8,263.55,53.49,71.63,812.19,8.08,43.97,59.58,14.42,140.55,39.17,52.6,172.24,CON
6,0,3.0,1,0.63,0.47,0.17,841.93,2009.6,454.8,612.8,493.47,328.53,685.8,1014.33,510.33,638.53,290.33,464.27,109.53,841.4,1973.87,626.4,156.53,443.73,337.33,1075.47,546.53,637.27,254.4,505.27,105.13,33.2,111792.4,0.51,0.49,0.61,0.39,0.4,0.6,0.58,0.42,4.0,4.21,1.11,1.87,0.42,0.76,31.49,23.18,78.36,0.44,1.98,0.02,5.06,14.29,7.21,0.65,0.0,1977.53,0.6,249.27,58.3,64.19,824.23,8.0,38.93,56.19,24.75,150.4,39.94,66.76,182.04,CON
7,0,2.43,1,0.74,0.62,0.4,863.1,2014.0,471.14,634.29,459.05,326.67,715.0,1041.67,528.24,634.38,274.81,460.76,115.38,839.57,2009.9,618.57,146.67,431.24,340.95,1076.19,531.81,648.05,255.43,487.19,97.67,33.43,114692.86,0.58,0.42,0.67,0.33,0.49,0.51,0.6,0.4,4.0,4.46,1.13,1.92,0.43,0.73,31.32,25.89,77.69,0.47,3.17,0.01,6.11,20.28,10.71,0.68,0.05,1977.1,0.43,285.97,71.26,63.41,879.29,8.02,40.95,54.45,24.67,167.26,42.53,72.1,181.77,CON
8,0,2.07,1,0.8,0.59,0.3,892.82,2064.5,489.61,644.46,471.79,330.5,767.75,1098.25,553.68,608.29,269.11,474.07,124.79,866.68,2096.68,588.93,150.75,450.43,348.21,1095.39,530.86,647.54,259.82,486.89,99.0,33.57,117543.64,0.63,0.37,0.71,0.29,0.54,0.46,0.64,0.36,4.0,3.93,0.96,1.69,0.42,0.76,31.17,21.76,67.11,0.43,2.44,0.01,4.23,14.0,10.67,0.61,0.05,1978.72,0.19,247.37,60.34,63.53,777.65,7.53,33.43,55.87,20.61,142.3,34.91,62.52,178.42,CON
9,0,2.14,1,0.77,0.48,0.25,927.11,2141.5,491.61,641.86,496.36,336.39,805.64,1142.04,577.5,614.18,268.29,489.93,133.14,897.61,2168.29,597.61,154.11,459.61,346.11,1121.93,542.89,645.39,255.79,493.5,94.79,33.79,122308.61,0.62,0.38,0.66,0.34,0.58,0.42,0.61,0.39,4.0,3.57,0.95,1.85,0.42,0.76,31.9,19.03,67.87,0.37,0.92,0.04,2.22,10.66,7.4,0.58,0.0,1980.9,0.38,242.35,64.64,71.13,750.46,6.84,33.89,49.54,8.53,128.04,32.88,67.02,170.53,CON
10,0,1.96,0,0.73,0.38,0.2,946.39,2193.39,505.96,663.79,539.89,345.04,834.43,1179.46,593.11,615.0,251.61,490.61,125.82,918.82,2219.04,604.61,155.25,470.29,350.14,1147.93,546.57,660.89,253.89,493.0,96.14,33.93,125057.39,0.63,0.37,0.68,0.32,0.57,0.43,0.63,0.37,4.0,3.6,0.81,1.71,0.41,0.75,31.79,18.67,68.68,0.35,0.66,0.03,2.21,7.49,6.07,0.55,0.0,1982.07,0.37,246.03,59.68,71.37,719.58,5.44,35.47,57.5,10.97,128.2,28.39,61.36,170.07,CON
11,0,2.89,0,0.55,0.27,0.14,958.89,2255.75,510.93,673.11,571.04,350.18,843.36,1193.54,603.43,628.32,248.57,484.39,127.75,934.21,2241.61,637.43,155.82,476.89,344.86,1184.39,542.29,667.96,252.64,506.68,103.11,34.0,123796.82,0.59,0.41,0.69,0.31,0.49,0.51,0.59,0.41,9.42,3.12,0.75,1.81,0.42,0.79,30.15,12.93,59.46,0.33,0.76,0.04,1.83,4.5,3.74,0.57,0.04,1981.61,0.48,254.86,49.82,70.64,698.27,5.77,30.03,71.11,10.66,102.37,24.75,58.81,165.78,CON
2,0,5.0,0,0.0,0.0,0.0,868.0,1980.0,519.0,699.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,905.0,1967.0,652.0,136.0,372.0,331.0,971.0,513.0,672.0,284.0,543.0,148.0,32.0,107289.0,0.44,0.56,0.5,0.5,0.38,0.62,0.48,0.52,5.0,3.95,0.94,1.97,0.44,0.75,30.6,25.2,75.13,0.35,0.0,0.0,0.0,0.0,0.0,0.63,0.0,1973.38,0.38,251.46,65.67,71.78,780.75,6.51,42.95,25.12,9.82,123.2,28.47,60.77,163.53,DET
3,0,6.33,0,0.0,0.0,0.0,805.33,1936.0,447.67,594.33,361.0,329.67,628.67,958.33,480.33,635.0,236.67,508.67,84.0,867.0,1880.33,606.0,130.0,350.67,296.33,977.67,463.0,618.0,269.33,503.0,122.0,32.0,108661.67,0.35,0.65,0.42,0.58,0.29,0.71,0.38,0.62,5.0,3.26,0.75,1.69,0.4,0.72,28.92,15.15,65.06,0.44,0.0,0.0,0.0,0.0,0.01,0.54,0.0,1976.52,0.41,207.11,46.96,71.3,651.17,8.35,36.71,23.59,9.77,98.64,22.52,51.05,169.91,DET
4,0,7.17,1,0.0,0.0,0.0,785.67,1927.5,459.83,622.67,362.5,344.83,673.83,1018.67,479.17,622.0,218.83,524.83,108.0,847.5,1932.17,605.5,138.0,398.83,305.17,980.33,464.0,627.5,273.17,473.0,130.5,32.0,101416.33,0.32,0.68,0.43,0.57,0.21,0.79,0.33,0.67,5.0,4.03,0.9,2.06,0.42,0.72,30.65,22.1,69.73,0.43,0.24,0.0,0.51,1.5,1.58,0.63,0.0,1976.65,0.43,241.54,64.99,72.15,785.66,8.17,42.75,54.43,19.59,127.1,28.38,64.45,161.38,DET
5,0,4.7,1,0.4,0.4,0.4,832.2,1958.1,525.5,726.4,346.7,358.5,744.7,1103.2,505.5,615.2,236.5,558.1,128.0,872.9,2073.7,585.7,147.2,455.7,339.1,1013.8,480.0,686.1,287.5,482.6,129.9,32.8,114308.6,0.48,0.52,0.56,0.44,0.41,0.59,0.5,0.5,5.0,4.88,0.95,2.04,0.42,0.71,31.69,23.05,74.58,0.47,3.05,0.0,3.6,13.35,4.91,0.64,0.2,1977.7,0.45,246.96,71.9,72.17,821.34,7.73,47.25,32.09,22.76,181.36,33.93,72.42,167.28,DET
6,0,4.13,1,0.43,0.27,0.27,846.13,2004.4,535.67,748.27,300.8,371.33,754.13,1125.47,525.0,626.13,250.0,543.07,134.67,868.6,2081.8,593.47,161.8,481.47,334.4,1027.53,491.67,700.07,288.0,487.07,130.27,33.2,129825.73,0.49,0.51,0.53,0.47,0.45,0.55,0.52,0.48,5.0,4.82,1.05,2.06,0.43,0.71,31.2,25.93,76.03,0.47,2.6,0.0,3.31,11.75,4.34,0.67,0.08,1977.02,0.71,262.39,75.88,72.05,851.98,7.78,47.98,34.16,22.32,171.25,36.88,71.94,166.98,DET
7,0,4.1,1,0.45,0.19,0.19,841.81,2020.29,528.05,755.62,282.86,382.95,768.1,1151.05,510.43,664.67,247.43,551.05,140.48,844.43,2042.71,639.33,159.57,474.19,316.86,1024.81,486.33,712.62,283.43,496.48,131.9,33.43,138262.95,0.48,0.52,0.58,0.42,0.39,0.61,0.53,0.47,5.0,4.39,1.02,2.11,0.41,0.71,31.0,24.54,82.36,0.48,1.71,0.1,2.43,7.82,4.54,0.68,0.04,1978.17,1.29,277.06,76.25,72.25,854.67,7.98,44.6,57.22,20.02,150.25,34.51,70.68,170.01,DET
8,0,3.57,1,0.59,0.39,0.39,861.11,2070.21,534.29,753.21,315.64,388.71,796.07,1184.79,525.82,676.25,238.82,547.54,139.61,843.32,2073.29,655.0,163.43,495.89,318.64,1039.61,483.25,717.71,281.32,498.86,125.93,33.57,143560.46,0.53,0.47,0.64,0.36,0.42,0.58,0.57,0.43,5.0,4.42,1.02,2.13,0.41,0.72,31.29,24.52,78.75,0.48,1.75,0.04,3.69,13.63,5.68,0.68,0.09,1977.75,0.83,275.85,84.69,71.54,858.18,8.37,44.68,58.76,14.41,160.79,36.21,75.47,169.19,DET
9,0,2.75,1,0.73,0.57,0.45,892.18,2128.54,552.86,767.82,346.64,390.18,839.86,1230.04,537.82,686.14,235.57,552.89,136.71,853.64,2128.71,675.18,175.25,532.32,316.04,1056.29,498.96,735.21,280.04,506.54,123.04,33.79,151990.54,0.59,0.41,0.67,0.33,0.5,0.5,0.61,0.39,5.0,4.47,0.99,1.91,0.42,0.73,31.34,20.99,76.6,0.49,2.32,0.15,4.41,15.1,10.28,0.65,0.16,1977.4,0.81,270.97,69.6,72.62,814.99,8.42,41.28,59.59,14.95,164.69,35.29,69.95,172.12,DET
10,0,2.07,1,0.84,0.71,0.61,920.04,2185.32,558.96,769.11,380.11,396.5,851.39,1247.89,557.93,701.5,246.25,540.04,133.04,858.57,2145.86,698.5,187.68,561.75,317.96,1067.75,507.0,748.07,267.29,525.46,121.75,33.93,157565.89,0.62,0.38,0.73,0.27,0.51,0.49,0.68,0.32,5.0,4.43,1.07,1.84,0.42,0.76,31.27,21.57,74.53,0.47,2.66,0.08,4.81,14.69,11.74,0.65,0.14,1978.25,0.63,261.77,65.1,72.49,818.2,7.78,40.94,66.38,15.81,164.15,38.67,67.68,167.33,DET
11,1,2.11,0,0.91,0.7,0.48,942.25,2224.0,555.68,757.43,401.04,391.93,857.5,1249.43,565.96,723.0,250.79,539.75,122.82,870.14,2164.29,734.46,195.21,580.07,317.29,1079.5,513.11,743.32,268.21,530.96,117.86,34.0,154586.93,0.61,0.39,0.72,0.28,0.49,0.51,0.65,0.35,9.42,3.41,0.94,1.66,0.4,0.77,28.1,15.92,54.15,0.26,0.22,0.04,1.73,5.2,6.04,0.54,0.11,1979.49,0.11,225.54,54.22,70.79,616.45,5.93,24.75,59.35,6.48,102.73,28.36,50.39,156.49,DET
2,1,2.0,1,1.0,1.0,1.0,891.0,1894.0,521.0,634.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,786.0,1938.0,508.0,124.0,418.0,290.0,902.0,473.0,648.0,233.0,480.0,85.0,32.0,196077.0,0.84,0.16,0.88,0.12,0.81,0.19,0.81,0.19,6.0,4.64,0.97,1.52,0.47,0.79,29.97,24.3,69.64,0.42,2.37,0.0,5.57,8.22,9.43,0.63,0.31,1971.65,0.47,217.67,52.58,73.08,790.25,6.83,44.72,54.43,14.88,174.87,35.89,57.04,178.51,HOU
3,1,3.33,1,0.67,0.33,0.33,795.0,1903.33,450.33,570.67,453.67,323.0,714.67,1037.67,448.67,524.0,262.0,437.33,98.0,755.33,1901.33,505.33,142.67,443.33,294.67,955.33,459.0,590.0,243.0,448.67,108.33,32.0,186102.33,0.68,0.32,0.75,0.25,0.6,0.4,0.68,0.32,6.0,4.75,1.31,1.92,0.44,0.77,30.06,23.62,63.38,0.38,0.84,0.0,5.23,9.6,7.46,0.68,0.41,1972.41,0.25,319.4,78.33,72.5,845.35,7.12,44.78,63.68,16.2,165.65,45.77,66.58,167.88,HOU
4,1,2.67,1,0.58,0.17,0.17,775.0,1840.67,451.67,577.83,392.83,311.0,708.33,1019.33,449.33,495.5,261.0,446.17,112.0,730.17,1890.67,478.67,146.83,466.17,301.83,964.17,452.5,598.0,252.5,456.33,89.67,32.0,187375.17,0.71,0.29,0.81,0.19,0.61,0.39,0.72,0.28,6.0,4.23,1.28,2.17,0.42,0.82,31.0,26.85,60.85,0.35,1.49,0.0,5.0,13.56,11.03,0.75,0.37,1972.5,0.09,315.39,89.76,71.89,929.61,7.03,37.38,70.92,14.66,146.8,44.92,74.53,162.09,HOU
5,1,2.4,0,0.55,0.1,0.1,796.2,1870.8,460.2,586.7,373.3,293.0,730.6,1023.6,455.6,493.3,249.0,447.7,118.8,767.7,1946.4,466.4,155.7,479.7,300.3,980.9,477.9,612.4,242.3,445.8,102.6,32.8,172506.3,0.66,0.34,0.82,0.18,0.51,0.49,0.67,0.33,6.0,3.97,1.05,1.81,0.41,0.75,29.38,20.13,57.66,0.31,1.58,0.0,3.08,6.98,6.01,0.63,0.26,1975.01,0.23,255.26,61.55,72.45,761.01,7.62,35.78,57.98,17.89,133.96,35.58,58.85,163.07,HOU
6,1,3.6,1,0.37,0.07,0.07,796.8,1891.53,459.47,596.13,368.2,299.0,728.4,1027.4,454.07,513.87,246.67,459.8,114.87,789.8,1966.93,487.93,154.47,464.47,311.87,1005.6,498.27,626.6,247.53,454.2,111.4,33.2,160822.53,0.57,0.43,0.72,0.28,0.42,0.58,0.55,0.45,6.0,4.73,1.23,2.16,0.42,0.77,30.71,26.15,70.22,0.38,0.87,0.02,2.79,6.37,3.88,0.75,0.15,1972.58,0.38,297.77,74.1,71.89,933.93,7.82,44.95,44.08,14.49,155.31,40.85,70.36,159.37,HOU
7,1,3.43,1,0.55,0.19,0.05,814.86,1899.67,478.76,622.95,321.57,292.43,715.71,1008.14,457.76,533.05,246.48,449.86,112.05,806.43,1960.38,508.24,152.62,452.62,301.05,992.86,510.48,643.29,233.1,461.86,111.29,33.43,149352.1,0.57,0.43,0.7,0.3,0.43,0.57,0.54,0.46,6.0,4.02,1.08,1.95,0.42,0.74,30.03,22.09,66.88,0.38,1.03,0.05,3.13,8.29,3.82,0.67,0.14,1974.79,0.46,254.27,63.55,71.66,821.56,8.32,35.0,35.56,14.17,133.77,36.51,64.31,160.61,HOU
8,1,3.32,0,0.54,0.14,0.04,843.14,1949.25,479.57,636.71,359.18,295.07,742.29,1037.36,476.32,554.04,247.86,478.89,105.04,836.82,2028.29,534.93,151.46,463.46,310.04,1025.64,514.36,658.71,249.32,476.14,105.71,33.57,144660.57,0.56,0.44,0.7,0.3,0.41,0.59,0.54,0.46,6.0,4.1,0.95,1.73,0.44,0.75,29.08,17.56,62.41,0.34,1.45,0.06,2.65,7.25,3.36,0.6,0.18,1976.9,0.6,237.97,58.01,72.65,708.88,7.67,34.9,37.93,14.72,132.49,31.25,55.47,165.06,HOU
