year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_9,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostGP,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
8,0,7.0,0,0.0,0.0,0.0,858.0,2175.0,449.0,643.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,971.0,2147.0,736.0,200.0,536.0,379.0,1239.0,623.0,584.0,262.0,535.0,120.0,34.0,57635.0,0.15,0.85,0.18,0.82,0.12,0.88,0.2,0.8,2.0,3.26,0.9,1.46,0.39,0.71,28.52,18.83,59.92,0.3,0.1,0.0,0.96,2.32,1.28,0.58,0.0,1980.89,0.25,214.5,49.7,71.76,685.8,6.29,32.29,33.32,11.3,102.11,26.83,44.37,165.41,CHI
9,0,6.33,0,0.0,0.0,0.0,902.67,2243.0,475.67,696.33,541.33,374.33,748.0,1122.33,567.67,647.33,267.0,515.67,116.33,965.67,2211.0,673.33,189.33,499.33,379.0,1229.67,597.0,650.0,248.67,555.67,132.0,34.0,63583.0,0.32,0.68,0.29,0.71,0.35,0.65,0.27,0.73,2.0,4.45,0.94,1.61,0.41,0.71,30.47,21.36,66.33,0.43,0.25,0.03,0.84,2.45,0.36,0.61,0.16,1980.98,0.37,241.58,65.47,71.64,762.9,6.37,49.98,18.68,14.64,145.74,29.26,51.78,163.46,CHI
10,0,5.67,0,0.0,0.0,0.0,900.83,2171.5,519.83,754.17,441.17,365.67,759.0,1124.67,557.83,643.17,268.0,520.33,132.67,941.33,2207.0,664.17,179.67,503.67,372.5,1194.83,564.0,665.5,251.83,538.83,128.0,34.0,62864.5,0.34,0.66,0.38,0.62,0.29,0.71,0.38,0.62,2.0,4.1,0.92,1.65,0.4,0.71,30.2,17.68,62.62,0.34,0.03,0.0,0.67,0.85,0.52,0.58,0.04,1982.58,0.58,231.15,59.75,71.62,712.46,5.32,39.17,28.6,14.99,125.99,28.22,50.79,161.36,CHI
11,0,5.4,0,0.0,0.0,0.0,912.5,2157.3,522.7,729.7,453.1,342.2,765.8,1108.0,547.5,627.9,260.4,525.0,134.8,966.4,2231.8,643.7,190.2,539.4,367.1,1179.3,582.4,653.7,260.3,518.9,125.2,34.0,64459.5,0.39,0.61,0.51,0.49,0.27,0.73,0.41,0.59,9.42,4.29,0.69,1.73,0.44,0.73,28.95,18.38,63.96,0.3,0.65,0.0,1.37,2.41,2.47,0.55,0.01,1981.57,0.67,187.22,49.06,74.1,650.2,5.67,35.44,40.45,17.05,131.26,20.45,52.15,170.49,CHI
2,0,2.0,1,1.0,0.5,0.0,809.0,1828.0,426.0,570.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,774.0,1761.0,583.0,119.0,368.0,277.0,873.0,540.0,693.0,305.0,552.0,95.0,32.0,137532.0,0.53,0.47,0.81,0.19,0.25,0.75,0.62,0.38,3.0,3.45,0.95,1.8,0.44,0.74,29.6,16.76,73.43,0.31,1.45,0.0,5.03,11.01,6.52,0.58,0.0,1974.93,1.11,198.15,49.06,71.4,686.27,6.28,39.08,32.57,11.41,128.54,34.3,62.01,167.79,CLE
3,0,1.33,0,0.67,0.17,0.0,778.33,1789.33,390.0,526.67,359.0,308.33,642.33,950.67,515.0,570.33,264.33,475.33,85.67,700.67,1750.33,490.33,127.67,400.67,290.33,885.0,469.33,629.0,251.67,514.67,116.33,32.0,144092.67,0.64,0.36,0.85,0.15,0.42,0.58,0.68,0.32,3.0,3.93,1.04,1.63,0.45,0.72,29.89,18.53,66.83,0.31,1.62,0.0,3.68,7.04,4.18,0.61,0.0,1975.46,0.48,213.35,46.66,71.86,735.81,6.5,39.23,29.46,11.41,132.14,35.17,54.76,167.13,CLE
4,0,4.17,1,0.33,0.08,0.0,769.17,1804.67,410.0,539.83,366.5,301.67,658.17,959.83,497.5,568.67,242.67,463.17,84.33,748.83,1792.17,505.67,138.33,420.83,284.17,901.5,499.67,621.0,246.83,471.33,112.67,32.0,146588.33,0.47,0.53,0.55,0.45,0.4,0.6,0.51,0.49,3.0,3.97,0.93,1.78,0.41,0.75,28.8,19.75,63.09,0.3,0.4,0.0,1.6,3.19,2.96,0.62,0.02,1976.14,0.78,237.82,52.51,70.63,740.02,7.44,36.3,53.36,8.04,123.27,29.83,54.73,161.74,CLE
2,0,3.0,0,0.5,0.0,0.0,833.0,1911.0,397.0,546.0,424.0,319.0,606.0,925.0,473.0,583.0,255.0,486.0,130.0,851.0,1964.0,495.0,153.0,450.0,348.0,1017.0,536.0,637.0,264.0,500.0,108.0,32.0,117810.0,0.5,0.5,0.69,0.31,0.31,0.69,0.62,0.38,4.0,4.5,1.25,2.13,0.43,0.72,30.72,24.96,79.46,0.5,2.19,0.0,2.67,4.6,5.31,0.69,0.0,1973.28,0.7,260.26,60.94,71.98,869.94,7.44,48.28,48.07,23.33,154.69,42.16,72.11,175.09,CON
3,0,4.33,0,0.17,0.0,0.0,789.67,1913.0,419.0,573.33,496.0,343.67,611.33,955.0,459.0,623.0,298.33,516.67,126.67,821.0,1875.33,568.33,155.67,442.0,326.67,989.0,534.67,612.33,286.67,530.67,112.0,32.0,118519.33,0.44,0.56,0.65,0.35,0.23,0.77,0.49,0.51,4.0,4.04,1.13,1.9,0.41,0.74,29.04,21.97,70.27,0.41,0.56,0.0,1.24,1.68,2.28,0.66,0.0,1974.54,0.63,247.86,50.07,71.93,791.33,7.22,41.75,65.28,13.13,124.6,34.37,58.36,170.53,CON
4,0,4.67,1,0.08,0.0,0.0,798.83,1913.5,456.0,609.67,478.5,331.83,603.17,935.0,452.5,646.0,296.67,486.33,119.83,812.5,1868.67,618.17,155.83,432.0,344.33,1017.5,526.83,624.67,268.83,535.83,110.0,32.0,116178.17,0.47,0.53,0.64,0.36,0.3,0.7,0.56,0.44,4.0,4.07,1.35,1.8,0.41,0.74,29.64,22.88,72.15,0.44,0.18,0.0,0.43,0.54,1.07,0.68,0.04,1973.64,0.55,240.62,55.19,70.75,808.49,7.59,39.85,63.26,10.32,122.24,40.82,54.24,165.25,CON
5,0,4.0,1,0.45,0.2,0.0,824.9,1988.9,465.2,624.2,506.7,332.3,666.7,999.0,479.5,652.8,286.0,465.4,116.3,833.1,1962.8,640.1,162.3,473.6,353.0,1081.7,537.3,642.4,262.1,511.9,101.2,32.8,110680.1,0.49,0.51,0.62,0.38,0.37,0.63,0.52,0.48,4.0,4.38,1.24,1.65,0.43,0.75,30.75,22.36,78.58,0.49,0.62,0.0,1.88,3.85,2.54,0.66,0.03,1974.29,0.8,263.55,53.49,71.63,812.19,8.08,43.97,59.58,14.42,140.55,39.17,52.6,172.24,CON
6,0,3.0,1,0.63,0.47,0.17,841.93,2009.6,454.8,612.8,493.47,328.53,685.8,1014.33,510.33,638.53,290.33,464.27,109.53,841.4,1973.87,626.4,156.53,443.73,337.33,1075.47,546.53,637.27,254.4,505.27,105.13,33.2,111792.4,0.51,0.49,0.61,0.39,0.4,0.6,0.58,0.42,4.0,4.21,1.11,1.87,0.42,0.76,31.49,23.18,78.36,0.44,1.98,0.02,4.38,14.29,7.21,0.65,0.0,1977.53,0.6,249.27,58.3,64.19,824.23,8.0,38.93,56.19,24.75,150.4,39.94,66.76,182.04,CON
7,0,2.43,1,0.74,0.62,0.4,863.1,2014.0,471.14,634.29,459.05,326.67,715.0,1041.67,528.24,634.38,274.81,460.76,115.38,839.57,2009.9,618.57,146.67,431.24,340.95,1076.19,531.81,648.05,255.43,487.19,97.67,33.43,114692.86,0.58,0.42,0.67,0.33,0.49,0.51,0.6,0.4,4.0,4.46,1.13,1.92,0.43,0.73,31.32,25.89,77.69,0.47,3.17,0.01,5.35,20.28,10.71,0.68,0.05,1977.1,0.43,285.97,71.26,63.41,879.29,8.02,40.95,54.45,24.67,167.26,42.53,72.1,181.77,CON
8,0,2.07,1,0.8,0.59,0.3,892.82,2064.5,489.61,644.46,471.79,330.5,767.75,1098.25,553.68,608.29,269.11,474.07,124.79,866.68,2096.68,588.93,150.75,450.43,348.21,1095.39,530.86,647.54,259.82,486.89,99.0,33.57,117543.64,0.63,0.37,0.71,0.29,0.54,0.46,0.64,0.36,4.0,3.93,0.96,1.69,0.42,0.76,31.17,21.76,67.11,0.43,2.44,0.01,4.45,14.0,10.67,0.61,0.05,1978.72,0.19,247.37,60.34,63.53,777.65,7.53,33.43,55.87,20.61,142.3,34.91,62.52,178.42,CON
9,0,2.28,1,0.74,0.46,0.24,916.86,2122.83,487.03,637.92,494.06,335.72,790.03,1125.75,568.19,615.56,269.75,488.72,131.72,890.97,2145.64,597.17,154.14,458.11,345.72,1113.97,542.0,644.31,256.75,495.14,95.89,33.67,121531.72,0.6,0.4,0.65,0.35,0.55,0.45,0.61,0.39,4.0,3.56,0.94,1.84,0.42,0.76,31.88,18.96,67.83,0.37,0.98,0.04,3.65,10.77,7.27,0.58,0.0,1980.91,0.37,241.17,64.29,71.13,748.39,6.83,33.7,49.05,8.69,127.47,32.78,66.59,170.48,CON
